stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,0
 14-21,0,17,0,0,0,0,0,2,0,0,0,2,0,0,3,1
 24-34,0,7.39,0,0.82,0,0,0,8.21,0,2.46,4.93,0.82,1.64,0,98.5,1.64
 36-46,0,3.22,0,0,2.42,0,0.81,3.22,0,0.81,4.83,1.61,0.81,0,80.57,0
 48-58,0,0,0.57,1.72,1.72,0,0,4.59,0,0.57,2.3,0.57,0.57,0,51.07,0.57
 60-70,0,1.96,0,0,3.93,0,0,1.96,0,0.98,0,0,0,0,19.63,0
 72-82,0,2.94,0,0.98,0.98,0,0,1.96,0,0.98,0,0,0,0,8.83,0
 84-94,0,4.25,0,0,1.06,0,0,1.06,1.06,0,1.06,0,0,0,41.42,0
 96-106,0,3.28,0,0,0,1.09,0,2.19,0,1.09,1.09,0,0,0,5.46,0
108-118,0,4.6,0,0,3.83,0.77,0,1.53,0,0,0,0,0,0,4.6,0
120,0,3.92,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0
