stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,6.29,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,163.64,9.44,0,0,22.03,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,81,4,0,0,3,0,0,1,0,1,1,2,0,0,0,6,0,0,2,16,1,2,1,4,0,29,0,3,0,0,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,42.68,0.82,0,6.57,5.75,0,0,0.82,0,0,11.49,2.46,0,1.64,0,4.1,0,0,2.46,22.98,0,0,0.82,0,0,93.58,0,0,0.82,0,0.82,4.93,0,0,0.82,0,0
 36-46,0,0,0,0,19.34,0,0,2.42,5.64,0,0.81,0,0,0.81,20.14,3.22,0,2.42,0,1.61,0,0,2.42,26.59,0,2.42,2.42,0,0,106.35,0,0,0.81,0,0,2.42,0,0,0.81,0,2.42
 48-58,0,0,0,0,9.18,0,0,14.92,5.16,1.15,1.15,0.57,0.57,0,4.02,1.15,0,2.87,0,6.89,1.15,0,1.15,30.41,0.57,2.87,1.15,0,0,69.43,0,0,0,0.57,0,3.44,0,0,1.72,0,1.15
 60-70,0,0,0,0,28.46,1.96,0,14.72,9.82,0,6.87,0.98,1.96,0,34.35,2.94,0,0.98,0,11.78,0,0,0.98,26.5,0,2.94,3.93,0,0.98,82.45,0,0,0,0,0,2.94,0.98,0.98,1.96,0,1.96
 72-82,0,0,5.89,0,25.52,0,0,8.83,7.85,0.98,1.96,9.82,0,0,15.71,4.91,0,6.87,0,21.6,0,0.98,0,21.6,0,0.98,2.94,0,0,83.44,0.98,0,0,0,0,0,0,1.96,4.91,0,0
 84-94,1.06,0,0,0,44.61,0,1.06,13.81,13.81,0,2.12,8.5,0,0,38.23,4.25,1.06,4.25,0,12.74,5.31,0,1.06,16.99,0,1.06,2.12,0,0,223.03,0,0,0,0,0,3.19,2.12,0,4.25,1.06,1.06
 96-106,0,0,0,1.09,54.64,3.28,0,7.65,13.11,0,4.37,8.74,0,1.09,42.62,9.84,1.09,6.56,1.09,17.49,2.19,2.19,0,31.69,0,5.46,2.19,0,1.09,260.1,0,0,1.09,0,0,1.09,1.09,0,2.19,1.09,0
108-118,0,0,0.77,0,58.98,3.06,0,5.36,36.77,0.77,3.83,14.55,0.77,0,36,12.26,0,5.36,0,16.85,4.6,1.53,2.3,19.92,0,3.83,0,0,0,255.83,0,0,0.77,0,0,1.53,1.53,0,3.83,0.77,0
120,0,0,1.96,0,64.67,1.96,0,1.96,23.52,0,3.92,23.52,0,0,47.03,7.84,0,1.96,1.96,13.72,1.96,0,0,3.92,0,1.96,1.96,0,0,168.54,0,0,0,0,0,0,0,0,17.64,0,0
