stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,12,0,0,1,0,0,3,0,1,0,1,3,6,0,0,1,0,0
 24-34,0,0,0,0,0.82,0.82,0.82,0,0,1.64,0,0,0,1.64,0,0.82,0,0.82,0,16.42,0,0,6.57,57.46,2.46,2.46,0.82,0,0,5.75,0,0,0.82,0,3.28,17.24,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,4.83,0.81,0,1.61,0.81,0,0,0.81,0,0,0,0,0,15.31,0,0,4.03,108.77,3.22,3.22,0,0,0,4.03,0,0.81,0,0,0,18.53,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,60.25,0,0,3.44,2.87,0,0.57,0.57,0,1.15,0.57,0,0,24.1,0,0,5.74,96.97,1.15,1.72,0,0,0,2.3,0,0,0,1.72,0,20.08,0,0,1.15,0,0
 60-70,0,0,0,0,2.94,0.98,273.84,1.96,0.98,0.98,1.96,0.98,0,0,0,0,2.94,0,0,36.32,0,0,2.94,173.73,2.94,0,0,0,0,8.83,0,0,0,0,0,26.5,0,0.98,0,0,0.98
 72-82,0,0,0,0,1.96,2.94,275.85,0.98,0.98,5.89,21.6,0.98,1.96,0,0,0,4.91,0,0,70.68,0.98,0.98,2.94,182.59,3.93,0.98,2.94,0,0.98,7.85,0,0,0,0,0,24.54,0.98,0.98,0.98,1.96,0.98
 84-94,0,0,1.06,0,12.74,0,126.38,0,0,3.19,30.8,1.06,0,0,1.06,3.19,5.31,0,0,37.17,0,0,2.12,79.65,10.62,0,0,0,1.06,23.36,0,0,0,0,0,6.37,0,1.06,1.06,3.19,0
 96-106,0,0,1.09,0,7.65,3.28,98.36,3.28,2.19,1.09,17.49,1.09,0,0,1.09,2.19,4.37,1.09,1.09,40.44,1.09,2.19,4.37,87.43,8.74,1.09,2.19,0,1.09,16.39,0,0,1.09,0,0,6.56,0,3.28,0,2.19,0
108-118,0,0,0.77,0,14.55,0.77,80.43,0,1.53,2.3,19.15,2.3,0,0,0,0,7.66,0.77,1.53,28.34,0.77,2.3,6.13,94.21,10.72,0.77,2.3,0,6.89,13.02,0,0,0,0,0,1.53,0.77,0.77,0,0,0.77
120,0,0,0,0,11.76,0,64.67,1.96,3.92,7.84,11.76,3.92,0,1.96,1.96,0,1.96,0,1.96,37.24,0,0,3.92,103.87,21.56,1.96,3.92,0,3.92,11.76,0,0,1.96,0,0,1.96,0,0,0,0,0
