stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0
 24-34,0.82,0,0,0.82,0,0,0.82,0,0,4.93,0,0,0,2.46,0
 36-46,0,0,0,0,0,0,0.81,0,0,7.25,0,0,0.81,4.03,0
 48-58,0,0.57,0.57,0,0,0,4.02,0,0.57,11.48,0,0,0,2.87,0
 60-70,0,0,3.93,0,1.96,0,3.93,0,0,23.56,0.98,0,0.98,1.96,0
 72-82,0,0,5.89,0,0.98,0,3.93,0,0,23.56,0,0,0,1.96,0
 84-94,0,0,5.31,0,1.06,1.06,2.12,0,0,11.68,0,0,1.06,1.06,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,15.3,0,0,0,0,0
108-118,0.77,0,2.3,0,0.77,0,0.77,0,0,8.43,0,0,0.77,0,0.77
120,0,0,3.92,0,1.96,0,1.96,0,0,13.72,0,0,0,0,0
