stage,epidermis,eye,fast.muscle,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,8,0,0
 24-34,0.82,0,1.64,0,0,0,0,0,0,0,0,4.93,9.85,0,0,0,0,0.82,17.24,0.82,0
 36-46,0,1.61,7.25,0,0,0,0,0,0,0.81,0,4.03,16.11,0.81,0,0,0,4.83,0.81,2.42,0
 48-58,0.57,3.44,9.18,2.3,0,0,0,0,0,2.87,0,6.89,11.48,0,0,0,0,1.72,0,1.72,0
 60-70,0.98,2.94,6.87,0.98,0,0,0,0,0.98,1.96,0.98,6.87,6.87,0,0,0,0,1.96,0,0,0.98
 72-82,0,3.93,8.83,0,0,0,0,0,0,2.94,0,7.85,12.76,0,0,0,0,1.96,0,0.98,0
 84-94,0,4.25,6.37,0,0,0,0,0,0,1.06,0,5.31,5.31,0,0,0,1.06,2.12,0,1.06,1.06
 96-106,1.09,3.28,5.46,1.09,0,1.09,0,1.09,0,2.19,0,3.28,1.09,0,1.09,0,1.09,0,0,0,0
108-118,0,1.53,6.89,0,0.77,0,0.77,0.77,0,1.53,0.77,4.6,4.6,0,0,0,0.77,0.77,0,0.77,0
120,1.96,1.96,9.8,1.96,0,1.96,0,0,0,0,0,7.84,5.88,0,0,0,0,0,0,0,0
