stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,594.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,126.18,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.76,3.15,0,0,50.35,0,6.29,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,1,8,1,0,6,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,5,92,1,0,0,3,0,24,0,19,2,5,29,0,0,1,0,0
 24-34,0,0.82,0,0,4.93,1.64,0,34.48,0,0.82,0,8.21,1.64,0,0,13.13,0.82,0.82,0,0,36.12,0.82,0,18.06,378.41,0.82,2.46,2.46,0,0,91.12,0,0,0.82,2.46,86.19,0,0,4.1,0,0.82
 36-46,0,0,0,0,4.03,2.42,0,137.77,0,0,0,8.06,0,0,0,9.67,0.81,0,0,0,26.59,0,0,7.25,273.12,0,0.81,1.61,0,0,57.2,0,0,1.61,0,67.68,0,0,0,0,0
 48-58,0,0,0,0,4.59,12.62,0,167.55,0,1.15,0.57,6.89,1.15,0,0.57,4.59,0,0,0,0,27.54,0,0.57,6.31,128.53,0,0,0,0,0.57,33.85,0,0,1.72,0,23.53,0,0,1.15,0,1.15
 60-70,0,0,0,0,3.93,0.98,0,114.84,0,1.96,0,8.83,3.93,0,0,12.76,0.98,0,0,0,17.67,0,0.98,0,65.76,0,0.98,0,0,0,49.08,0,0,0,0,5.89,0,0,0.98,0,0.98
 72-82,0,0,0,0,11.78,1.96,0,55.95,0,0,0,14.72,0.98,0,0,23.56,1.96,0,0.98,0.98,18.65,0,5.89,3.93,53.01,0,0,0,0,0,50.06,0,0,0,0,1.96,0.98,0.98,1.96,0,0
 84-94,0,0,0,1.06,16.99,6.37,0,42.48,0,2.12,0,5.31,0,0,0,49.92,3.19,0,0,0,22.3,1.06,3.19,5.31,32.92,0,2.12,1.06,0,1.06,151.87,0,0,1.06,0,0,4.25,0,3.19,1.06,0
 96-106,0,0,0,0,34.97,4.37,0,37.16,0,1.09,0,6.56,2.19,0,1.09,72.13,7.65,0,1.09,2.19,12.02,3.28,0,3.28,41.53,0,2.19,2.19,0,0,185.78,0,0,0,0,2.19,1.09,0,3.28,1.09,1.09
108-118,0,0,0.77,0,23.74,4.6,0.77,50.55,0.77,0,0.77,13.02,1.53,0,0,55.15,4.6,0.77,0.77,0.77,15.32,0.77,0.77,3.06,49.79,0,4.6,0,0,0,128.68,0,0,1.53,0,1.53,3.06,0,5.36,0,0
120,0,0,0,0,35.28,9.8,0,41.16,0,3.92,1.96,17.64,1.96,0,0,72.51,1.96,0,0,0,17.64,0,0,1.96,43.12,0,1.96,0,0,0,121.51,0,0,0,0,0,1.96,0,5.88,0,0
