stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,55.2,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,34.62,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,1.64,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0,12.09,0,2.42,4.03,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,0.57,0,0,0.57,0,0,2.87,0,37.87,0.57,0,0.57,0,2.3,0,0.57,0,0,0,0,0.57,0,0,2.3,1.15,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0.98,3.93,0,77.54,3.93,0,2.94,0,0,0,1.96,0,0,0,0,0,0.98,0,12.76,0.98,1.96
 72-82,0,0,0,1.96,0,0.98,4.91,0,0,0,0,0,11.78,0,98.17,3.93,2.94,7.85,0,0,0,4.91,0,0,0,0,0,0,0.98,25.52,2.94,4.91
 84-94,0,1.06,0,1.06,0,0,5.31,0,0,2.12,0,0,12.74,1.06,69.03,8.5,2.12,6.37,0,0,0,4.25,2.12,0,0,0,0,0,0,25.49,2.12,4.25
 96-106,0,0,0,2.19,1.09,0,9.84,2.19,1.09,0,4.37,0,16.39,2.19,113.66,17.49,5.46,14.21,0,0,0,6.56,1.09,0,0,0,0,0,0,40.44,5.46,16.39
108-118,0,0,0,2.3,0,0.77,3.83,1.53,0.77,0,0,0,9.96,0.77,98.81,13.02,3.83,13.79,0.77,0.77,0,13.79,1.53,0,0,0,0,1.53,0.77,28.34,2.3,6.89
120,0,0,0,0,0,0,7.84,0,0,3.92,0,0,7.84,0,107.79,13.72,0,0,0,0,0,13.72,1.96,0,0,0,0,1.96,0,50.95,1.96,7.84
