stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,13,0,0,0,0,1,0,3,8,3,0,0,0,0
 24-34,0.82,0,0,0,2.46,0,0,2.46,0,0,0,0,0,0,0.82,96.86,0.82,0,0,0,0,0,0,1.64,13.95,0,0,0,0
 36-46,0,0,0,0,1.61,0,0.81,12.89,0,0.81,0,0.81,0.81,0,0,235.26,1.61,0,0,0,0,0,0,0,34.64,0,0,0,0
 48-58,0,0,1.15,0.57,24.1,0,0.57,37.3,0,0,0,0,2.3,0,0,253.05,0.57,0.57,0,0,0,0,0,0,21.23,0,0,0,0
 60-70,0,0,0,0,45.15,0,0.98,39.26,0,0,0,0,1.96,0,0.98,348.44,0,0,0,0,0,0,0,0,12.76,0,0,0,0
 72-82,0,0,3.93,0,72.64,0,0.98,45.16,0,0,0,0,5.89,0,0,428.99,0.98,0,0,0,0,0,0,0,6.87,0.98,0,0.98,0.98
 84-94,0,0,0,0,48.85,0,0,32.92,0,1.06,0,0,3.19,2.12,0,193.29,1.06,0,0,0,0,0,0,0,7.43,0,0,1.06,0
 96-106,0,0,2.19,0,41.53,0,0,28.41,1.09,0,2.19,0,2.19,0,1.09,149.72,1.09,0,0,2.19,0,0,0,0,4.37,0,1.09,0,1.09
108-118,0,0,3.06,0.77,45.96,0,0,13.02,0,0.77,0,0,3.06,0,0,206.81,0.77,0,0,1.53,0,0,0,0,3.06,0,0,0,0
120,0,0,0,1.96,39.2,1.96,0,11.76,0,1.96,0,0,0,0,0,158.74,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0
