stage,epidermis,eye,fin_epithelia,glial,immune,iridophores,melanocytes,mesenchyme,neural,notochord,olfactory,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,6.57,0,0.82,0,0.82,0,0,0
 36-46,0,0.81,0,0,0,0,0,0.81,7.25,0,0,0.81,2.42,0.81,0,0
 48-58,0,1.72,0,0,0,0,0.57,0.57,9.18,0,0.57,0,1.72,0,0,0
 60-70,0,2.94,0,0.98,0,0,0,0,18.65,0,0,0.98,2.94,0,0,0
 72-82,0.98,3.93,0,0,0,0,0,1.96,18.65,0,0,0,2.94,0,0.98,0
 84-94,0,3.19,0,0,0,0,0,1.06,2.12,0,0,0,2.12,0,0,0
 96-106,0,1.09,0,2.19,1.09,0,0,1.09,7.65,0,0,0,1.09,1.09,0,1.09
108-118,0,0,0,1.53,0,0,0,0.77,3.06,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0
