stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,2,20,5,108,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,57.46,0,0,0.82,0,0,0,0,0,0,35.3,0,0.82,0.82,0,0.82,0,46.79,0.82,114.92,0,1.64,0
 36-46,0,0,0,0.81,0,0,54.79,0.81,0,0,0,0,0.81,0.81,0,0,29.81,0,0.81,1.61,0,0,0,16.92,0,85.4,0,0,0
 48-58,0,0,0.57,0,0,1.72,57.95,0,0,0,0,0,0.57,2.3,0.57,1.15,13.2,0,3.44,0,0,0,0,5.16,0,65.99,0,0,0
 60-70,0,0,0,0,0,0,99.13,1.96,0,0,0,0,0,5.89,0,0,12.76,0,2.94,0.98,0,0,0,6.87,0,47.11,0,0,0.98
 72-82,0,1.96,0,0,0,7.85,113.87,1.96,0,0,1.96,0,0,0.98,0.98,0.98,12.76,0,2.94,2.94,0,0,0,2.94,0,28.47,0,0,0
 84-94,0,1.06,2.12,1.06,0,2.12,104.08,7.43,2.12,0,0,1.06,0,4.25,0,0,7.43,0,6.37,1.06,0,0,0,10.62,0,35.05,0,0,0
 96-106,0,0,2.19,0,0,2.19,73.22,4.37,0,0,0,0,2.19,12.02,1.09,0,7.65,0,4.37,2.19,0,0,0,4.37,0,30.6,1.09,0,0
108-118,0,1.53,0.77,0.77,0,0.77,62.04,6.13,0,0,0,0,0,4.6,0,0,4.6,0,6.13,0.77,0,0,0,5.36,0,15.32,0.77,0,0.77
120,0,0,0,0,0,3.92,45.08,1.96,0,1.96,0,0,1.96,1.96,0,0,1.96,0,3.92,0,0,0,0,5.88,0,9.8,0,0,1.96
