stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,22.03,0,0,0,28.32,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,412.25,15.73,0,0,254.9,0,6.29,0,3.15,12.59,0,44.06,0,0,0,0,0,0
 14-21,0,0,0,118,9,0,147,0,0,0,0,8,2,9,0,1,0,1,0,0,44,1,0,62,189,219,1,0,2,0,10,0,173,3,208,1571,27,0,0,1,0,2
 24-34,0,0,1.64,33.66,1.64,0,53.36,3.28,0,3.28,0,8.21,0,20.52,0,2.46,2.46,0.82,0,1.64,76.34,7.39,0.82,53.36,111.64,18.06,4.93,3.28,0.82,0,38.58,0,3.28,0.82,45.15,251.18,13.13,0,0,2.46,0,7.39
 36-46,0,0,0.81,19.34,0,0,14.5,20.95,0,3.22,8.86,3.22,0,14.5,0,0.81,4.83,4.03,0,0,96.68,4.03,1.61,87.01,75.73,1.61,8.06,1.61,0,0,42.7,0,0,1.61,31.42,5.64,12.09,0,0,0.81,0,5.64
 48-58,0,0,0.57,20.08,0.57,0,30.41,36.72,0,3.44,22.95,1.72,0,9.75,0.57,0,13.77,6.89,1.15,0,92.38,4.59,1.72,147.47,73.45,0.57,6.31,0.57,0,2.3,33.85,0,0,0,21.23,0.57,22.38,0,0,0.57,0,12.05
 60-70,0,0,0,12.76,0,0,29.45,58.89,0.98,9.82,32.39,2.94,1.96,5.89,0,1.96,51.04,12.76,0,0.98,92.26,0.98,0,98.15,36.32,0,7.85,0.98,0,0.98,60.85,0,0,0.98,15.7,0,7.85,0,0.98,2.94,1.96,11.78
 72-82,0,0,0,27.49,2.94,0,41.23,85.4,1.96,3.93,59.88,2.94,1.96,3.93,0.98,4.91,48.1,32.39,0,0.98,158.05,4.91,2.94,102.09,64.79,0.98,10.8,2.94,0,0,71.66,0,0.98,2.94,8.83,0,2.94,0.98,0.98,2.94,7.85,7.85
 84-94,0,0,1.06,22.3,3.19,0,47.79,81.78,2.12,8.5,45.67,2.12,2.12,2.12,1.06,4.25,64.78,33.99,1.06,2.12,101.96,9.56,3.19,75.4,45.67,0,5.31,7.43,0,2.12,206.04,0,0,0,11.68,0,6.37,1.06,0,5.31,9.56,8.5
 96-106,0,0,0,25.14,10.93,0,39.34,137.7,1.09,5.46,36.06,3.28,0,2.19,2.19,9.84,67.76,64.48,1.09,3.28,106.01,5.46,1.09,67.76,52.46,0,13.11,7.65,0,1.09,182.51,0,0,1.09,20.76,0,2.19,0,1.09,10.93,6.56,9.84
108-118,0,0,2.3,23.74,2.3,2.3,42.13,99.58,1.53,4.6,32.94,4.6,0,2.3,2.3,7.66,75.06,47.49,3.06,3.83,77.36,4.6,0.77,53.62,42.89,0,9.19,9.96,0,0,116.43,0,0,2.3,14.55,0,0.77,3.06,0.77,2.3,3.83,12.26
120,0,0,0,39.2,3.92,0,23.52,96.03,9.8,0,21.56,5.88,0,9.8,0,5.88,47.03,17.64,0,0,60.75,5.88,1.96,56.83,37.24,1.96,5.88,1.96,0,3.92,156.78,0,1.96,5.88,5.88,0,0,1.96,1.96,0,1.96,7.84
