stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,6,37,47,0,20,0,0,0,0,8,1,3,0,2,0,0,0,2,48,0,0,24,209,13,1,4,5,0,1,1,22,4,3,31,78,0,27,0,0
 24-34,1.64,2.46,7.39,4.93,0,16.42,0,0.82,0.82,4.1,0,0,4.93,0,2.46,0.82,1.64,0,0.82,82.09,0.82,0,35.3,253.64,4.1,1.64,4.1,0,0,0.82,0.82,0,0.82,1.64,0.82,63.21,0,97.68,0,0
 36-46,0.81,0,0.81,0.81,0,37.06,0,0,4.83,24.17,0,0,4.03,0,0,1.61,2.42,0.81,0.81,148.24,0.81,3.22,30.62,210.28,0,0.81,1.61,0,0,1.61,0,0,0,0,0,34.64,0,54.79,0,0
 48-58,0,0,3.44,6.31,0,51.07,0,0.57,4.02,51.64,0,0,1.72,1.15,0,1.15,0.57,0,0,186.49,0,1.72,24.1,72.3,0,0,1.72,0,0.57,0.57,0,0,0,0,0,33.28,2.3,43.04,0,0
 60-70,0,0,1.96,10.8,0,44.17,0,0,7.85,63.8,0,0,2.94,0,0,1.96,0.98,0,0.98,244.4,1.96,6.87,17.67,49.08,0,0,1.96,0,1.96,0.98,0,0,0,0,0,13.74,1.96,41.22,0,0
 72-82,0,0,0,69.7,0,30.43,0.98,0,8.83,71.66,1.96,0,9.82,0,0,4.91,0.98,0,0,264.07,0.98,4.91,13.74,51.05,0,0,6.87,0,3.93,0,0,0,0.98,0,0,1.96,1.96,79.51,5.89,0.98
 84-94,0,0,3.19,30.8,0,27.61,0,0,6.37,45.67,0,0,3.19,0,1.06,3.19,2.12,0,0,142.31,1.06,8.5,6.37,39.3,0,0,4.25,0,3.19,0,0,0,1.06,0,0,4.25,3.19,73.28,3.19,0
 96-106,0,0,1.09,29.51,0,12.02,1.09,0,4.37,43.71,6.56,0,3.28,0,0,2.19,1.09,0,0,99.45,0,1.09,4.37,36.06,0,1.09,3.28,0,2.19,0,0,0,1.09,0,0,2.19,0,99.45,6.56,0
108-118,0,0.77,1.53,22.98,0.77,9.96,0,0,3.06,37.53,2.3,0,1.53,0.77,1.53,2.3,0.77,0.77,0,67.4,0.77,0.77,0.77,21.45,0,0,5.36,0,3.83,0,0,0,0.77,0,0,0,2.3,69.7,1.53,0
120,0,0,3.92,27.44,0,1.96,0,0,3.92,21.56,5.88,0,3.92,0,0,1.96,0,0,0,62.71,0,0,1.96,19.6,0,0,3.92,0,1.96,0,0,0,0,0,0,0,1.96,37.24,7.84,0
