stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,44.06,22.03,0,0,15.73,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,13,0,0,0,1,0,0,0,0,1,1,0,2,32,1,0,0,0,0,1,0,14,0,0,5,0,0
 24-34,0,0,0,0,1.64,3.28,4.1,0.82,1.64,3.28,1.64,0,0.82,0.82,1.64,7.39,0,4.93,151.86,1.64,0,0.82,0,0,0,0,35.3,0,0,25.45,0,2.46
 36-46,0,0,0.81,0,1.61,0,7.25,0,0,14.5,2.42,0,0,0,2.42,13.7,0,6.45,195.78,0.81,0,0,0,0,0,0,32.23,0,0,12.89,0,3.22
 48-58,0,0,0,0,0,0,9.18,0,0.57,29.26,0.57,0.57,0.57,0,2.87,4.02,0,3.44,133.7,0.57,0,0.57,0,0,0,0,21.8,0,0,5.74,0,6.89
 60-70,0,0,0,0,2.94,0,76.56,0,3.93,43.19,2.94,0.98,0,0,0.98,24.54,2.94,7.85,241.45,0,0,1.96,0,0.98,0,0,26.5,0,0.98,9.82,0,10.8
 72-82,0,0,0,0,0.98,0,123.69,0,1.96,37.3,0.98,1.96,0,0,0.98,15.71,1.96,3.93,190.44,0,0,0,0,0,0,0,14.72,0,0,14.72,0,12.76
 84-94,0,0,0,0,3.19,0,75.4,0,1.06,26.55,0,1.06,1.06,0,2.12,14.87,1.06,1.06,128.51,0,0,1.06,0,0,0,0,10.62,0,1.06,13.81,0,6.37
 96-106,0,0,0,0,4.37,0,95.08,1.09,0,29.51,1.09,1.09,1.09,0,3.28,8.74,1.09,2.19,114.75,1.09,0,0,0,1.09,0,0,4.37,0,0,10.93,2.19,6.56
108-118,0,0,0,0,3.06,0.77,56.68,0.77,1.53,21.45,0,2.3,0.77,0.77,0,10.72,0.77,3.06,120.26,0,0.77,0.77,0,0,0,0,1.53,1.53,0,9.19,0,3.06
120,0,0,0,0,3.92,0,52.91,0,0,17.64,1.96,3.92,0,0,0,3.92,0,0,127.39,0,0,0,0,0,0,0,0,0,1.96,11.76,0,0
