stage,epidermis,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,spinal_cord,taste,vasculature
 14-21,0,0,0,1,0,0,0,4,1,0,3,0,0
 24-34,0,0.82,0,0,0,0,0,3.28,0,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,5.64,0,0,0,0,0
 48-58,0,0.57,0,0,0,2.87,0,12.05,0,0,2.87,0,0
 60-70,0,6.87,1.96,0.98,0,0.98,0,13.74,0,0,0.98,0,0
 72-82,0.98,20.61,0,0,0,2.94,0,15.71,0,1.96,1.96,0,0.98
 84-94,2.12,7.43,3.19,0,0,1.06,0,4.25,0,1.06,1.06,0,0
 96-106,3.28,7.65,1.09,0,0,0,1.09,4.37,0,0,0,0,0
108-118,6.13,15.32,0.77,0,0,2.3,0,4.6,0,0,0,0.77,0
120,15.68,3.92,1.96,3.92,3.92,1.96,0,5.88,0,0,0,0,0
