stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,3,1,4,1,2,0,0,0
 24-34,2.46,1.64,0,0,0,0,0,0,0,0,0.82,0,0,5.75,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,6.45,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0.81,0,0.81,0,0.81,0,0.81,0
 48-58,0,2.3,0,0,0,0.57,0,0,0,0,0.57,0,0,4.02,1.15,0,0,0,0,0,0,0,0,0
 60-70,0,5.89,0,0.98,0,0,0,0,0,0.98,5.89,0.98,0,1.96,0.98,2.94,0,0,0.98,0,0.98,0,0,0
 72-82,1.96,3.93,5.89,0,0.98,0,0.98,0,2.94,3.93,8.83,2.94,1.96,5.89,0,1.96,0,0,0,0,0,0,0,1.96
 84-94,0,3.19,5.31,0,0,0,0,0,0,0,4.25,1.06,1.06,2.12,2.12,0,0,0,0,0,0,1.06,0,1.06
 96-106,1.09,2.19,0,0,0,0,0,0,1.09,4.37,17.49,0,2.19,3.28,2.19,4.37,3.28,0,0,0,1.09,0,0,1.09
108-118,2.3,3.83,1.53,0,0,0,0,0.77,0,0.77,7.66,2.3,0.77,0.77,2.3,3.06,10.72,0,0,0,0,0,0,0
120,0,7.84,0,0,0,0,0,0,0,0,3.92,0,1.96,0,1.96,0,11.76,0,1.96,0,0,0,0,0
