stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,1.64,8.21,0,0,0,0,0.82,0,0
 36-46,0,2.42,0,0,0,0,0.81,0,0,4.03,0,0,0,0.81,0,0,0
 48-58,0,1.72,0,0.57,0.57,0,0,0,0,1.15,0,0.57,0,0,0.57,0.57,0
 60-70,0.98,2.94,0.98,0.98,0,0,0,0,0,4.91,0.98,0,0,0.98,0.98,0,0
 72-82,0,0.98,0,0,1.96,0.98,2.94,0,0.98,4.91,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,1.09,0,0,3.28,0,0,0,0,0,0,0
108-118,0,1.53,1.53,0,0,0,0,0,0,0.77,0,0,0.77,0.77,0,0,0.77
120,0,0,0,0,1.96,0,0,1.96,0,5.88,0,0,0,0,0,0,0
