stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,5,0,1,0,0,0,0,31,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,192.08,0,20.52,0,0,0,0,0,0,75.52,0,0,0,0,0.82
 36-46,0,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0.81,309.38,0,16.11,0,0,0,0.81,0,0,103.13,0,0,0,0,0
 48-58,0,0,0,0.57,0,45.9,0,0,6.89,0,0,0,0,0,0,0.57,2.3,0.57,0,0,384.45,0.57,6.31,0.57,0,0,0,0,0,99.27,0,0,0,0,1.15
 60-70,0,0.98,0,0,0.98,143.3,0.98,0,2.94,0,0,0.98,0,0,1.96,0,3.93,0,0,0,490.76,0,17.67,0,0,0,1.96,0,0,71.65,0,0,0,0,0
 72-82,0,0.98,0,5.89,0.98,236.58,0.98,0,9.82,0.98,0.98,1.96,0.98,0,1.96,0,10.8,0,0,0,494.76,0,25.52,0.98,0,0,0,0,0,51.05,0,0,1.96,0,0
 84-94,0,2.12,0,1.06,3.19,142.31,1.06,1.06,13.81,0,0,3.19,2.12,1.06,1.06,0,3.19,0,0,1.06,281.44,0,9.56,1.06,0,0,2.12,2.12,0,35.05,0,1.06,1.06,1.06,0
 96-106,0,2.19,0,4.37,1.09,108.19,0,1.09,5.46,0,0,2.19,0,1.09,0,0,6.56,0,2.19,0,225.13,0,17.49,0,0,1.09,2.19,0,1.09,15.3,0,0,0,0,1.09
108-118,0,0,0,1.53,0.77,84.26,0.77,0,7.66,0.77,0,0,0,0.77,0.77,0,4.6,0,0,0.77,256.6,0,13.79,0,0,0,0.77,0,0,9.19,0.77,0,0.77,0,0
120,0,0,0,1.96,0,45.08,0,0,9.8,1.96,0,0,0,0,0,0,5.88,0,0,1.96,192.06,0,15.68,1.96,0,0,0,0,0,7.84,0,0,0,0,0
