stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,118.29,2.63,0,0,31.54,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,94.41,3.15,0,0,28.32,18.88,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,19,0,0,0,0,0,0,1,1,2,0,0,18,0,0,0,0,4,0,0,4,0,1,0,0,89,1,2,0,1,1,0,0,0
 24-34,0,0,0,0,7.39,0.82,0,2.46,0.82,0,0,1.64,0.82,1.64,0,0.82,36.12,0,0.82,0,3.28,11.49,0,1.64,41.04,0,9.85,0,0,220.81,0,0,0.82,0,0,4.1,0,0
 36-46,0,0,0,0,9.67,0,0,1.61,0,0,0,0,0.81,0,0,0,7.25,0,0.81,0,0,6.45,0,1.61,33.03,0,6.45,0.81,0,247.34,0,0,0,0,0,3.22,0,0.81
 48-58,0,0,0,0,9.18,0,0,2.87,0,1.72,0.57,0,0,3.44,0,0,9.18,0,0,0,3.44,10.9,0.57,0.57,24.1,0,4.02,1.72,0,206.57,0,0,0,0,0,3.44,0,0
 60-70,0,0,0,0,15.7,0,0,3.93,0,0.98,0,0,0.98,0.98,0,0,4.91,0,1.96,0,0,10.8,0,0.98,25.52,0,6.87,2.94,0,202.19,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,35.34,0.98,0,0.98,0.98,4.91,0,0.98,4.91,1.96,0,0.98,18.65,0,3.93,0,0.98,16.69,0,0,16.69,0,2.94,0,0,203.2,0,0,0,0,0,0,2.94,0
 84-94,0,0,0,0,52.04,1.06,0,2.12,0,12.74,0,0,10.62,7.43,0,0,20.18,1.06,1.06,0,0,23.36,0,0,11.68,0,10.62,3.19,0,529.96,0,0,0,0,0,2.12,3.19,0
 96-106,0,0,1.09,0,95.08,1.09,1.09,2.19,0,9.84,0,2.19,16.39,0,1.09,1.09,22.95,0,2.19,2.19,4.37,40.44,0,0,19.67,0,24.04,5.46,0,409.82,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,88.85,1.53,0,3.83,0,14.55,0,2.3,17.62,0,0,1.53,31.4,0,0.77,0.77,1.53,19.15,0,0,15.32,0,8.43,6.13,0,431.24,0,0,0,0,0,0.77,3.06,0
120,0,0,0,0,80.35,0,0,3.92,0,15.68,0,1.96,7.84,0,0,0,13.72,0,0,0,1.96,19.6,0,0,9.8,1.96,15.68,3.92,0,341,0,0,0,0,0,0,1.96,0
