stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,103,3,1,1,0,0,0,0,0,5,65,0,0,2,0,0
 24-34,0,1.64,1.64,1.64,0,0,6.57,0,0,0.82,1.64,0,0,0,0,0,0,0.82,0,6.57,0,0,6.57,440.8,0,14.78,0,0,0,1.64,0,0.82,0.82,161.71,0,0,14.78,0,0.82
 36-46,0,0,0,3.22,0,0,32.23,0.81,0,3.22,14.5,0,0.81,0.81,0,0,0,0.81,4.03,6.45,0,0,4.83,1202.86,1.61,16.11,0,0,0,1.61,0.81,0,0,278.76,0,0,16.11,0,1.61
 48-58,0,0.57,0,4.59,0.57,0,176.73,0.57,0.57,0.57,37.87,0,1.15,0.57,0.57,0.57,0.57,1.15,5.74,20.08,0.57,0.57,2.87,1533.21,0,14.35,0.57,0,0,2.87,1.15,0,0,263.38,0,0,10.33,0,1.72
 60-70,0,0.98,0,3.93,0.98,0,384.76,0.98,1.96,0.98,69.69,0.98,0.98,0.98,0,0,0,0,5.89,35.33,0,0.98,0.98,2342.89,0,9.82,0.98,0,0,3.93,0,0.98,0,304.27,0.98,0.98,9.82,0,1.96
 72-82,0,2.94,0,11.78,6.87,0,477.09,0,0.98,2.94,91.29,1.96,4.91,1.96,0.98,0,0.98,0,2.94,52.03,0,1.96,1.96,1928.97,0,20.61,4.91,0,0.98,1.96,0,0,0,139.4,0,1.96,24.54,1.96,4.91
 84-94,0,4.25,0,16.99,2.12,0,330.29,1.06,2.12,3.19,70.09,4.25,0,3.19,0,4.25,0,1.06,5.31,43.54,0,0,4.25,1010,0,12.74,7.43,0,0,4.25,0,1.06,0,82.84,0,1.06,24.43,0,2.12
 96-106,0,1.09,0,10.93,3.28,0,228.4,2.19,0,2.19,67.76,1.09,1.09,4.37,0,2.19,0,0,4.37,28.41,2.19,2.19,0,796.69,0,16.39,8.74,0,0,7.65,0,0,0,22.95,3.28,2.19,31.69,1.09,2.19
108-118,0,0.77,0,8.43,3.83,1.53,189.19,0,0,1.53,66.64,0,1.53,0.77,0.77,0,0,1.53,2.3,26.81,0,0,0.77,868.6,0,9.96,11.49,0,0,1.53,1.53,0,0,29.87,1.53,2.3,16.85,1.53,0.77
120,0,0,0,13.72,1.96,0,154.82,0,0,0,45.08,5.88,0,1.96,1.96,1.96,0,0,0,27.44,0,0,5.88,819.19,0,1.96,11.76,0,1.96,0,1.96,0,0,33.32,1.96,0,11.76,0,0
