stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,15.73,0,3.15,0,0
 14-21,0,0,1,6,0,0,0,1,1,0,0,1,13,1,0,2,0
 24-34,0,0,0,2.46,3.28,0.82,1.64,0,0,0,0,0,16.42,0,0,7.39,0
 36-46,0,0,0,0,0.81,0,0,0,0,0.81,0,0,5.64,0.81,0,1.61,0
 48-58,0,0,0,0.57,1.15,0,0,0,0,2.87,0,0,13.77,0,0,5.16,0
 60-70,0,0,0,0,0,0,0,0,0,11.78,0,0,3.93,0,0,0,0
 72-82,0,0,0,0,2.94,0,1.96,0,0,40.25,0,0,9.82,0,0,0,0
 84-94,0,0,0,1.06,13.81,0,2.12,0,0,38.23,0,1.06,5.31,0,0,1.06,0
 96-106,0,0,0,0,20.76,0,3.28,0,0,48.09,1.09,2.19,7.65,0,0,0,4.37
108-118,0,0,0,0.77,22.98,0.77,0,0,0,41.36,0,0,6.89,0,0,0,1.53
120,0,0,0,1.96,11.76,0,0,0,0,33.32,0,0,5.88,0,0,0,0
