stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,3,0,0,2,19,1,0,0,1,0,1,1,0,0,2,20,0,0,2,0,0
 24-34,0,0,0,2.46,5.75,0,2.46,0,0,0.82,0.82,0,0,0.82,0,0.82,0,0,0,0.82,2.46,0,0,0.82,91.12,0.82,4.93,0,0,0,0,0,1.64,0,0,32.83,0,0,4.1,0,0
 36-46,0,0,0,0,0,0,6.45,0,0,0.81,4.83,0,0,2.42,0.81,0,0,0,0,0.81,7.25,0.81,0,1.61,188.53,0,11.28,0,0,0,0,0,0.81,0,0,42.7,0,0,4.03,0,1.61
 48-58,0,0.57,0,1.72,8.03,0,33.85,0,0.57,1.72,8.61,0.57,2.3,0.57,0,2.3,0,0,0,4.59,6.89,1.15,0,1.72,204.27,0,7.46,0,0,0,1.15,0,0,0.57,0,68.86,0,0.57,3.44,0,2.87
 60-70,0,0,0,0.98,22.58,0,131.52,0,0,3.93,32.39,0,0.98,1.96,2.94,2.94,0.98,0,0,5.89,37.3,0.98,0,2.94,360.22,0.98,14.72,0,0,0.98,0,0,0,0,0,88.34,0,0.98,8.83,0,5.89
 72-82,0,3.93,0,2.94,76.57,0,149.21,0,0,2.94,146.27,10.8,0,0.98,2.94,7.85,3.93,0.98,0,6.87,55.95,5.89,0.98,4.91,294.5,0.98,28.47,2.94,0,0.98,0,0,0,0.98,0,73.62,0,0.98,20.61,2.94,9.82
 84-94,0,1.06,1.06,3.19,90.27,0,113.64,0,0,4.25,82.84,9.56,2.12,0,2.12,10.62,6.37,0,1.06,7.43,46.73,2.12,1.06,2.12,166.74,1.06,23.36,1.06,0,1.06,1.06,0,0,0,0,32.92,0,2.12,18.05,0,16.99
 96-106,0,3.28,0,2.19,118.03,0,118.03,0,1.09,6.56,142.07,21.86,0,1.09,15.3,17.49,7.65,2.19,0,5.46,72.13,2.19,4.37,2.19,205.46,1.09,57.92,5.46,0,3.28,2.19,0,1.09,0,0,30.6,3.28,0,30.6,5.46,20.76
108-118,0,6.13,0,5.36,74.3,0,127.92,2.3,0,4.6,108.77,33.7,0,0,9.96,14.55,19.92,1.53,2.3,15.32,53.62,3.83,3.06,1.53,266.56,0.77,36,4.6,0,0,0.77,0,0.77,1.53,0,16.09,2.3,0,22.98,3.83,23.74
120,0,11.76,0,7.84,86.23,1.96,90.15,1.96,0,3.92,101.91,31.36,0,0,25.48,3.92,3.92,0,0,3.92,88.19,7.84,5.88,5.88,246.93,9.8,31.36,1.96,0,5.88,5.88,0,1.96,0,0,15.68,0,1.96,13.72,0,7.84
