stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,0,0,4,0,0
 24-34,0,0,1.64,0,0,0.82,0,0,1.64,0,0,1.64,0,0,0,0,0.82,0,0,2.46,13.13,91.12,4.93,0,0,0,0,0.82,3.28,0,0,9.85,0,0
 36-46,0,0,0.81,0,0,0,0,0,3.22,0,0,2.42,0,0,0,0,1.61,0,0,0,15.31,67.68,7.25,0,0,0,0,0,2.42,0,0,2.42,0,0
 48-58,0,0,0,0,0,2.87,0.57,0.57,1.15,0,0,5.74,0,0,0,0,2.3,0,0.57,0,6.31,44.76,3.44,0,0,0.57,0,0,1.72,0,0.57,14.35,0,0
 60-70,0,0,0,0,0,3.93,0,0,9.82,0,0.98,4.91,0.98,0,0,0,34.35,0,0.98,0,10.8,43.19,0.98,0.98,0,0,0,0,0.98,0,1.96,19.63,0,0
 72-82,0,0,0.98,0,0,9.82,0,0,13.74,0.98,0,12.76,2.94,0,0,0,155.1,0,0,0,11.78,30.43,8.83,0.98,0,0,0,0,1.96,0,11.78,62.83,1.96,0.98
 84-94,0,1.06,3.19,1.06,0,6.37,0,0,5.31,0,0,4.25,1.06,0,0,0,164.62,0,0,0,10.62,49.92,6.37,1.06,0,1.06,1.06,0,2.12,0,10.62,65.85,0,0
 96-106,0,1.09,12.02,0,0,6.56,2.19,0,8.74,0,0,20.76,2.19,2.19,1.09,1.09,173.76,1.09,1.09,1.09,12.02,61.2,10.93,1.09,1.09,1.09,1.09,0,1.09,1.09,27.32,96.17,10.93,0
108-118,0,0,6.89,0.77,0.77,4.6,0,1.53,6.13,0.77,0,9.96,1.53,0,0,0.77,142.47,0,3.83,0.77,7.66,58.98,2.3,0,0,0.77,0.77,0,0.77,0,18.38,73.53,3.83,0
120,0,0,9.8,0,0,7.84,0,1.96,1.96,0,0,13.72,0,0,0,1.96,117.59,0,1.96,0,3.92,56.83,1.96,3.92,0,1.96,0,0,0,0,23.52,72.51,11.76,0
