stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,26.36,92.25,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,31.54,0,5.26,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,12.59,6.29,9.44,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0
