stage,endoderm,epidermis,eye,fin.mesenchyme,glial,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,4.03,0,0,0,0,0.81,5.64,0,0.81,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,6.89,0,0,0.57,0,0,3.44,0,0,0,0,0,2.3,0,0,0.57
 60-70,0,0,0,0,29.45,0,1.96,2.94,0,0,6.87,0,0,0,0,0.98,0.98,0,0,1.96
 72-82,0,0,3.93,0.98,90.31,0,0.98,11.78,0,0,7.85,0,0,0,0,0,1.96,0,0.98,1.96
 84-94,1.06,0,5.31,0,65.85,0,1.06,6.37,3.19,0,4.25,0,1.06,0,0,0,3.19,0,0,0
 96-106,0,2.19,9.84,0,131.14,0,1.09,12.02,8.74,0,13.11,0,3.28,1.09,0,0,2.19,1.09,1.09,1.09
108-118,0,0,0.77,0.77,103.41,0.77,1.53,9.96,2.3,0.77,5.36,0,1.53,0,0,0,0.77,0.77,0,4.6
120,0,1.96,7.84,0,96.03,0,3.92,3.92,0,0,13.72,0,0,1.96,0,0,3.92,1.96,3.92,3.92
