stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,2,8,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,2,59,5,4,1,1,1,4,2,6,39,0,0,0,0,0
 24-34,0.82,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0,0,1.64,0,0,0.82,0,3.28,0.82,0,1.64,259.39,0.82,15.6,0,0,2.46,0,0.82,1.64,66.49,0,0,0.82,0,0
 36-46,0,0,0.81,0.81,0,20.95,0,0,1.61,8.06,0,0,0,0,0,0.81,0,0,0.81,2.42,0.81,0,0.81,635.67,0,20.14,0.81,0,2.42,0,0,0,136.96,0,0,0.81,0,0
 48-58,0,0,2.3,0,0,105.58,0,1.15,0,62.54,0,0,0,0,0,1.15,0,0.57,0,10.9,0,0,2.87,825.71,1.15,14.92,0.57,0,3.44,0,0.57,0,151.48,0,0,0,0,0.57
 60-70,0,0,4.91,1.96,0,590.88,0,0,0,113.86,0,0,0,0.98,0,0,0,0.98,0,17.67,0,0.98,0.98,1170.96,0,12.76,4.91,0,0.98,0,0.98,0,170.78,0,0.98,2.94,0,0
 72-82,2.94,0,5.89,1.96,0,811.83,0,0,1.96,131.54,0.98,0,0,0,0,0.98,1.96,0,0,37.3,1.96,0.98,1.96,1114.19,0,29.45,2.94,0,4.91,0,0,0,84.42,0.98,0.98,1.96,0,0
 84-94,1.06,0,8.5,1.06,1.06,419.5,1.06,0,3.19,101.96,0,0,0,2.12,0,1.06,1.06,0,0,30.8,1.06,1.06,2.12,535.27,0,24.43,6.37,0,5.31,0,0,0,55.23,1.06,2.12,5.31,3.19,1.06
 96-106,0,1.09,10.93,4.37,1.09,393.42,1.09,2.19,0,77.59,3.28,0,0,1.09,0,1.09,1.09,4.37,1.09,21.86,5.46,2.19,1.09,461.18,3.28,25.14,5.46,0,8.74,0,0,0,12.02,2.19,0,1.09,0,1.09
108-118,1.53,0,8.43,2.3,0.77,278.04,0,0,0.77,78.89,5.36,0,0.77,0,0.77,0.77,1.53,2.3,0,16.85,3.06,0.77,1.53,450.39,0,17.62,4.6,0,4.6,0,0,0,9.96,0.77,0,0.77,0,0.77
120,1.96,0,5.88,3.92,0,190.1,0,1.96,0,107.79,1.96,0,0,3.92,0,1.96,0,3.92,0,17.64,0,0,3.92,446.83,3.92,9.8,5.88,0,1.96,0,1.96,0,11.76,0,0,0,0,0
