stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,78,2,0,1,0,20,0,0,11,0,0,1,0,0,0,51,1,0,121,32,33,0,0,1,0,1,2,0,0,34,92,0,0,0,0,0
 24-34,0,0,13.13,22.98,0,0,3.28,0,47.61,0,4.1,23.8,1.64,0,0,0,0,3.28,158.43,0,0,240.51,73.88,55.82,0,2.46,0,1.64,1.64,0,1.64,0.82,6.57,127.23,0,0,0.82,0,0
 36-46,0,0,4.83,10.47,0,0,5.64,0,28.2,4.03,4.83,21.75,1.61,0,0,0,0,2.42,228.81,0.81,0,173.22,58.81,33.84,0,1.61,0,0.81,0.81,0,0,0.81,0.81,123.27,0,0,0,0,0
 48-58,0,0,0,5.74,0,0,9.18,0,33.28,6.31,10.9,18.36,0,0,0,0,0,1.15,215.75,0,0,113.61,38.44,6.31,0,5.16,0,1.15,0.57,0,0,0,0,43.61,0,1.15,0,0,0.57
 60-70,0,0.98,0.98,10.8,0,0,8.83,0,39.26,3.93,10.8,23.56,0,1.96,0,0.98,0.98,2.94,287.59,0,0.98,69.69,30.43,0,0,5.89,0,2.94,0,0,0.98,0,0,14.72,0.98,2.94,0,0,0.98
 72-82,0,1.96,0,10.8,0,0.98,26.5,0,34.36,12.76,20.61,35.34,2.94,0,0,2.94,1.96,0.98,392.66,0.98,12.76,70.68,47.12,0.98,0,13.74,0,2.94,0,0,0,0,0,16.69,0.98,4.91,0.98,5.89,0
 84-94,0,2.12,1.06,12.74,0,4.25,30.8,1.06,55.23,9.56,14.87,44.61,1.06,0,4.25,7.43,0,0,286.75,0,6.37,53.1,25.49,2.12,0,13.81,0,2.12,2.12,0,1.06,0,0,9.56,0,5.31,2.12,7.43,0
 96-106,0,0,0,24.04,1.09,0,17.49,0,44.81,17.49,12.02,28.41,1.09,0,1.09,5.46,0,0,274.3,0,10.93,50.27,34.97,2.19,0,29.51,0,4.37,4.37,0,0,0,0,12.02,0,2.19,1.09,8.74,1.09
108-118,0,0,1.53,11.49,0,2.3,10.72,0,65.11,18.38,9.19,11.49,2.3,0,1.53,15.32,0.77,0.77,214.47,0,5.36,36.77,24.51,0,0.77,20.68,0,2.3,3.06,0,0.77,0,0,8.43,0,1.53,2.3,7.66,0
120,0,0,0,7.84,1.96,0,7.84,0,19.6,21.56,3.92,7.84,0,0,1.96,5.88,0,1.96,172.46,0,3.92,21.56,33.32,0,0,15.68,0,1.96,1.96,0,0,0,0,5.88,0,1.96,1.96,5.88,0
