stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,44,11,0,0,0,1,0,0,1,1,8,0,0,0,3,31,0,2,70,1,0,4,1,0,1,0,1,1,1,14,0,0,0,0,0
 24-34,0,0.82,0,17.24,8.21,0,0.82,0,1.64,0,0,2.46,5.75,4.1,0,1.64,2.46,13.95,113.28,0,2.46,45.97,0,0,2.46,0,0,0,0,0,0.82,0.82,10.67,0,0,16.42,0,0.82
 36-46,0,0,0.81,4.83,8.86,0,0,1.61,3.22,0,0,3.22,3.22,1.61,0.81,0,0,12.09,98.29,1.61,3.22,33.03,0,0.81,0,0,0.81,0,0,0,4.03,0,7.25,0,0,29,0,1.61
 48-58,0,0,0,12.62,13.2,0,0,2.3,10.33,0,0.57,9.18,2.87,0,1.15,2.3,1.15,10.33,157.22,0,2.3,32.13,0.57,0,1.15,0,0,0.57,0,0,1.72,0,6.31,0,0,36.15,0,1.72
 60-70,0,0,0.98,27.48,92.26,0,0,0.98,13.74,0,0,8.83,4.91,1.96,0.98,0.98,2.94,0.98,204.16,2.94,3.93,20.61,0,0,1.96,0,1.96,0,0,0,3.93,0,3.93,0,0.98,36.32,0.98,2.94
 72-82,0.98,0,2.94,117.8,178.66,0.98,0,7.85,31.41,0,0,13.74,14.72,0,0,8.83,1.96,1.96,227.75,3.93,11.78,46.14,0,0,0.98,0,4.91,0,0,0,2.94,0,1.96,0,5.89,81.48,2.94,0
 84-94,2.12,0,3.19,81.78,117.89,0,1.06,2.12,14.87,1.06,0,8.5,13.81,1.06,5.31,5.31,3.19,2.12,120.01,5.31,4.25,26.55,1.06,1.06,1.06,0,2.12,2.12,1.06,0,4.25,0,4.25,1.06,4.25,58.41,3.19,4.25
 96-106,2.19,0,3.28,84.15,120.21,0,1.09,7.65,15.3,4.37,0,24.04,21.86,0,3.28,4.37,1.09,2.19,128.96,6.56,2.19,39.34,0,0,4.37,0,6.56,0,1.09,0,2.19,0,3.28,0,4.37,68.85,3.28,2.19
108-118,0.77,0,2.3,44.43,100.34,0.77,0.77,3.83,12.26,7.66,0,7.66,13.79,0.77,0,1.53,4.6,2.3,85.02,1.53,4.6,39.83,0.77,0,2.3,0,1.53,0,0,0,3.06,0,2.3,0,2.3,51.32,2.3,3.06
120,0,0,3.92,82.31,50.95,0,3.92,5.88,19.6,7.84,0,11.76,23.52,0,1.96,0,3.92,1.96,78.39,5.88,1.96,25.48,0,0,5.88,0,1.96,0,1.96,0,5.88,0,0,0,3.92,68.59,3.92,0
