stage,axial,blastomeres,epidermis,erythrocytes,eye,hatching.gland,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,6.13,0,0,0,0
  7-9,0,2.63,0,0,0,0,36.8,13.14,0,0,0
 10-12,0,0,0,0,3.15,3.15,25.18,6.29,0,3.15,0
 14-21,0,0,4,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0,0,0.77,0,0
