stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,7.89,0,2.63,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,94.63,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,3.15,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,103.85,3.15,0,0,37.76,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,10,0,4,0,5,0,0,0,0,0,0,4,0,0,2,40,2,0,0,1,0,0,5,7,0,6,26,1,0,0
 24-34,0,0,0,2.46,0,2.46,0,3.28,0.82,0,0,0,0.82,0.82,4.1,0,0,2.46,50.89,0.82,0.82,0,0,0.82,1.64,0,3.28,0,1.64,13.13,1.64,0,0
 36-46,0,0,0,0,0,16.92,0,7.25,0,0,0,0,0.81,0.81,10.47,0.81,0,4.03,58.81,0.81,2.42,0,0,0,0,0,2.42,0,0,20.95,0.81,0,0.81
 48-58,0,0,0,0.57,0,27.54,0.57,7.46,0.57,0,0,0.57,0,0,4.59,0,0,0.57,31.56,0.57,1.15,1.15,0,0,0,0,0.57,0.57,0,10.33,0.57,0,0
 60-70,0,0,0,0,0.98,34.35,0,5.89,0,0,0,0.98,0.98,0,4.91,0,0.98,0,36.32,0,0,0,0,0,0,0,0.98,0,0,3.93,0,0,0.98
 72-82,0,0,0,0.98,0.98,15.71,0,0.98,0,0,0,0,0.98,0,3.93,0,0.98,1.96,19.63,0,1.96,0.98,0,0,0,0,1.96,0,0,1.96,0.98,0.98,0.98
 84-94,0,0,0,0,1.06,7.43,0,1.06,0,0,0,0,1.06,0,5.31,0,0,0,8.5,0,3.19,2.12,0,0,1.06,0,1.06,0,0,1.06,0,0,0
 96-106,0,0,0,2.19,0,6.56,0,5.46,2.19,0,0,0,2.19,1.09,3.28,0,0,1.09,7.65,0,0,0,0,0,3.28,0,1.09,0,0,1.09,0,0,0
108-118,0,0,0,0,1.53,8.43,0,0,2.3,0,0.77,0,0.77,0,3.83,0.77,0,0.77,5.36,0,0,1.53,0,0,0,0,1.53,0,0,0.77,0,0,0
120,0,0,0,3.92,0,11.76,0,0,0,0,1.96,0,0,0,0,0,0,3.92,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
