stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,704.91,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,0,5.26,0,0,21.03,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,228.7,2.63,0,0,63.09,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,176.23,6.29,0,0,94.41,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,27,4,11,0,0,0,7,1,0,1,0,0,0,0,0,1,17,0,0,15,199,3,1,3,5,0,3,0,19,2,0,12,66,0,0,2,0,0
 24-34,0,0,0,1.64,14.78,3.28,52.53,0,1.64,1.64,8.21,0,0,2.46,0.82,2.46,0,0,0,0,43.51,0,0,21.34,316.85,1.64,1.64,3.28,0,0,8.21,0,0.82,0,0.82,4.93,79.62,0,0,9.03,0,2.46
 36-46,0,0,0.81,0,5.64,0,70.09,0.81,1.61,1.61,13.7,0.81,0,0.81,0,0,0,0,0.81,0,57.2,0.81,0.81,8.06,257.01,0.81,1.61,1.61,0,0,7.25,0,0,0,0,0,45.12,0,0,5.64,0,1.61
 48-58,0.57,0,0,0,4.02,0,86.64,0,1.72,2.87,20.66,0,0,1.72,0.57,0.57,0,0.57,0,0.57,49.35,0,1.15,6.89,179.03,1.72,1.15,1.15,0,0.57,6.31,0,0,0.57,0,0,35,0,0.57,3.44,0,1.15
 60-70,0,0,0,0,2.94,0,109.93,0,0.98,3.93,26.5,0,0,0,2.94,1.96,0,0.98,0,1.96,61.84,0.98,2.94,5.89,188.45,0.98,1.96,1.96,0,0,6.87,0,0,0,0.98,0,31.41,0.98,0.98,3.93,0,0.98
 72-82,0,0,2.94,0,12.76,2.94,92.28,0,0,4.91,36.32,0.98,0.98,1.96,1.96,0,0,0,0,0,107,0.98,2.94,8.83,213.02,0,2.94,2.94,0,0.98,6.87,0,0,0,0,0,18.65,0.98,0.98,9.82,0.98,2.94
 84-94,0,0,0,0,7.43,5.31,63.72,0,1.06,5.31,14.87,2.12,0,1.06,9.56,4.25,2.12,0,1.06,1.06,55.23,0,5.31,10.62,87.09,3.19,0,3.19,0,0,18.05,0,0,1.06,0,0,13.81,1.06,1.06,10.62,1.06,2.12
 96-106,0,0,0,0,12.02,2.19,41.53,0,4.37,4.37,31.69,2.19,0,2.19,8.74,2.19,3.28,0,1.09,0,80.87,1.09,1.09,5.46,92.89,1.09,6.56,5.46,0,1.09,28.41,0,0,0,0,0,6.56,1.09,3.28,12.02,2.19,3.28
108-118,0,0,0.77,0.77,17.62,3.06,32.17,0,9.19,1.53,22.21,3.06,0,1.53,10.72,2.3,4.6,0.77,2.3,1.53,60.51,0.77,2.3,5.36,95.75,1.53,3.06,6.13,0,1.53,18.38,0,0,0.77,0.77,0,3.06,0.77,1.53,6.89,3.06,3.06
120,0,0,0,0,15.68,3.92,31.36,0,5.88,0,19.6,0,0,5.88,3.92,1.96,0,1.96,0,0,56.83,0,5.88,1.96,99.95,1.96,1.96,7.84,0,1.96,23.52,0,0,0,0,0,3.92,0,0,9.8,3.92,0
