stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0,1.15,0,0,0.57,2.87,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,3.93,0,0,0,0,0
 72-82,0,0,0.98,0,0,1.96,0.98,0,0,0,0,0,1.96,1.96,0,0,1.96,6.87,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,1.06,0,0,1.06,0,0,0,0,2.12,3.19,0,0,0,0,0
 96-106,0,0,0,1.09,0,5.46,1.09,0,2.19,1.09,0,0,1.09,1.09,0,0,1.09,9.84,0,0,0,0,0
108-118,0,0,0,0,1.53,2.3,0,0,4.6,0.77,0,0,2.3,2.3,0,0.77,0,4.6,0,0,0.77,0,0
120,0,0,0,0,0,1.96,0,0,7.84,1.96,1.96,0,0,1.96,1.96,0,1.96,3.92,0,5.88,0,1.96,0
