stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,593.01,9593.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,729.43,11149.81,0,6.13,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,373.91,30.65,0,0,134.85,0,134.85,0,0,0,0,0,0,0,0,0,0,0
  7-9,278.64,233.96,0,410.08,0,5.26,457.4,0,0,0,0,168.24,0,0,0,0,0,0,0,0,0,0,0,5801.57,386.42,0,0,3982.5,0,7.89,10.51,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,141.61,0,270.64,0,15.73,292.67,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,2885.77,166.79,0,0,2794.51,0,0,6.29,9.44,151.05,0,34.62,6.29,0,0,0,0,0
 14-21,0,0,1,7,62,16,29,0,0,13,3,0,0,0,1,0,0,1,0,34,0,0,32,599,8,4,7,31,0,0,0,210,4,5,134,229,0,0,0,0,1
 24-34,0,0,0.82,0.82,15.6,1.64,37.76,0,2.46,23.8,0,0,0,0,0.82,0,0.82,0.82,0.82,50.89,0,0,21.34,814.29,0,9.85,10.67,0,0,0.82,0,0.82,0,0.82,18.88,165.81,0,0,7.39,0,0.82
 36-46,0,0,0,0.81,4.83,0,109.57,0.81,1.61,40.28,0,0,0.81,0,0,0.81,0.81,0,0,49.95,0,0.81,9.67,1013.53,0,8.86,1.61,0,0,0.81,0,0,0,0,0,236.06,0,0,0.81,0,0
 48-58,0,0,0,0.57,3.44,1.15,181.9,0,2.3,101.56,0,0.57,0,0,0.57,0,0,0,0,47.05,0.57,1.72,7.46,810.79,0,9.75,1.15,0,0,0.57,0,0,0,0,0,192.8,0,0,1.72,0.57,1.15
 60-70,0,0,0,0,4.91,1.96,251.27,0.98,1.96,109.93,7.85,0,0,0,0,0,0,0,0,56.93,0,0,5.89,748.9,0,2.94,1.96,0,0.98,1.96,0,0,0,0,0,110.91,0,1.96,1.96,0.98,0
 72-82,0,0,3.93,0,6.87,5.89,155.1,0,3.93,165.9,18.65,0,0.98,0,0,0,0,0,0.98,51.05,0,0,0.98,565.44,0,17.67,6.87,0,0.98,0,0,0,0,0,0,47.12,0,2.94,5.89,1.96,0.98
 84-94,0,0,3.19,0,7.43,3.19,92.4,0,1.06,100.89,27.61,0,2.12,1.06,0,1.06,2.12,0,1.06,33.99,1.06,3.19,3.19,262.32,0,8.5,3.19,0,0,1.06,0,0,1.06,0,0,39.3,0,1.06,0,1.06,1.06
 96-106,0,0,2.19,0,1.09,5.46,62.29,2.19,3.28,118.03,31.69,0,1.09,3.28,0,1.09,0,1.09,0,27.32,0,0,3.28,239.33,0,6.56,5.46,0,2.19,4.37,0,0,0,0,0,7.65,1.09,2.19,3.28,0,0
108-118,0,0,0,0.77,3.83,9.19,59.75,0,3.06,115.66,19.15,0,0,0.77,0,0,0.77,0.77,1.53,24.51,0,0.77,1.53,252.77,0,9.19,3.06,0,1.53,0.77,0,0,0,0,0,11.49,3.06,0.77,2.3,0,0
120,0,0,0,0,3.92,15.68,35.28,0,3.92,111.71,9.8,0,0,0,0,0,1.96,0,0,23.52,0,0,0,180.3,0,7.84,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
