stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.77,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.23,2.63,0,0,120.92,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,28.32,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,1,4,0,0,0,3,0,0,0,0,0,0,1,0,2,9,0,0,0,1,0,0,1,9,0,10,13,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,2.46,1.64,0,0,0,0,0.82,0,0,0,0,0,4.1,0,7.39,77.16,0,0.82,0,0,0,0,0,0,0,5.75,41.04,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.03,0.81,0.81,0,0,0,0,0,0,0,0,0,6.45,0.81,5.64,174.02,0,0.81,0,0,0,0,0,0,0,0,61.23,0,0,0,0,0
 48-58,0,0,0.57,0,1.72,0,0,15.49,0,2.3,2.87,0,0,1.15,0,0,0,0,0,8.03,1.15,1.72,193.37,0,1.15,0.57,0,0,1.15,0,0,0,0,48.2,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,0,87.36,0,0.98,6.87,0,0,0,0,0,0,0,0,28.46,0,0,338.63,0,1.96,0.98,0,0,0,0,0,0,0,53.98,0,1.96,0,0.98,0
 72-82,0,0,0.98,0,2.94,0,0.98,211.06,0.98,2.94,20.61,0.98,0,0.98,0.98,0,0,0,0,59.88,0.98,1.96,482,0,0,0.98,0,0.98,1.96,0,0,0,0,50.06,0,1.96,1.96,3.93,0.98
 84-94,0,0,0,0,2.12,0,0,110.45,0,2.12,20.18,0,0,0,1.06,1.06,1.06,0,3.19,33.99,1.06,2.12,245.33,0,1.06,2.12,0,0,1.06,0,0,0,0,24.43,0,1.06,1.06,3.19,0
 96-106,0,0,0,0,2.19,1.09,0,132.23,0,0,22.95,0,0,2.19,1.09,1.09,0,1.09,1.09,37.16,1.09,1.09,243.7,0,6.56,2.19,0,1.09,2.19,0,0,0,0,12.02,1.09,6.56,0,12.02,0
108-118,0,0,0,0.77,2.3,0.77,0,118.72,0,0,16.09,0,0,0.77,0.77,0,0.77,0.77,0,28.34,0,1.53,287.24,0,1.53,2.3,0,0,0,0,0,0,0,16.09,0,6.89,2.3,3.06,0.77
120,0,0,0,0,3.92,0,0,68.59,0,0,15.68,0,0,0,1.96,0,0,0,0,21.56,0,0,197.94,0,1.96,0,0,1.96,0,0,0,0,0,9.8,1.96,1.96,0,1.96,0
