stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.8,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,49.95,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,1,16,1,0,0,0,2,0,0,0,0,10,1,0,1,3,0,3,8,0,2,5,0,535,3,1,1,3,0,0,0
 24-34,0,1.64,12.31,0,1.64,0,0,0.82,0,0,0,0,9.03,6.57,0,1.64,7.39,0,1.64,38.58,0.82,14.78,2.46,0,594.3,0,3.28,0.82,4.1,0,1.64,0
 36-46,0,0,8.86,0,4.83,0,3.22,0.81,0,0,0,0,3.22,3.22,0,1.61,7.25,0,0,46.73,0.81,13.7,0.81,0,432.64,0,0,0,4.03,0,0,0
 48-58,0,0,10.9,0,2.3,0,1.72,1.72,0,0.57,0,0,0,2.3,0,1.72,4.02,0,0.57,21.23,0,6.89,0.57,0,226.08,0,0,0,3.44,0,0,0
 60-70,0,0,27.48,0,3.93,0,2.94,0.98,0.98,0,0,0,4.91,4.91,0,0.98,4.91,0,0,6.87,0,8.83,0,0,169.8,0,0.98,0,2.94,0,0,0.98
 72-82,0,0,61.84,0.98,2.94,0,0.98,3.93,1.96,0,0,0,5.89,7.85,0,1.96,11.78,0,0,18.65,0,13.74,0,0,132.52,0,0,0,0,6.87,0,0
 84-94,0,0,90.27,0,2.12,0,3.19,1.06,7.43,2.12,0,0,13.81,7.43,0,2.12,14.87,0,0,9.56,0,45.67,2.12,0,375.96,0,0,0,0,20.18,1.06,0
 96-106,0,0,115.84,0,4.37,0,6.56,5.46,20.76,0,0,0,20.76,17.49,0,1.09,8.74,1.09,1.09,15.3,0,75.41,2.19,0,300.53,0,0,0,0,51.36,0,1.09
108-118,0,0,103.41,0,4.6,0.77,9.19,0.77,13.79,0,0.77,0,25.28,6.89,0,1.53,13.79,0,0,12.26,0,56.68,2.3,0,307.15,0,0,0,0.77,52.85,0,0
120,0,0,64.67,1.96,1.96,0,7.84,0,15.68,0,0,3.92,13.72,1.96,3.92,0,9.8,0,0,17.64,0,23.52,1.96,0,243.01,0,0,0,1.96,19.6,0,0
