stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,15.77,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,12.59,0,0,12.59,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,12,4,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,1,12,2,0,0,0,0,1,0,3,0,2,5,7,0,1,0,0
 24-34,0,0,0,3.28,0.82,0,0.82,0.82,2.46,0.82,1.64,0,0.82,0,0,0.82,0,7.39,0.82,0,3.28,28.73,0,0,0,0,0,0.82,0,0,0,0.82,3.28,10.67,0,3.28,0,0
 36-46,0,0,0,0.81,0,0,5.64,0.81,0,0.81,0,0,0,1.61,0.81,0,0,6.45,0,0,3.22,22.56,0,1.61,0,0,0,2.42,0,0,0,0.81,0,7.25,0,1.61,0,0
 48-58,0,0,0,2.3,0,0,6.31,1.15,0,2.3,3.44,0,0,0,0,0.57,0,5.16,0,0.57,0.57,9.75,0,0,0.57,0,0,1.72,0,0,0,0,0,5.16,0,1.72,0,1.15
 60-70,0,0,0,2.94,0,0,6.87,0,0,0.98,2.94,0,0,0,0,0,0,20.61,0,0.98,3.93,14.72,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,1.96,0.98,1.96
 72-82,0,0,0,3.93,0,0,4.91,0,0,0,3.93,0,0,0.98,0,0,0,24.54,0,0,0.98,14.72,0,0,0.98,0,0.98,1.96,0,0,0,0,0,0,1.96,0.98,4.91,0
 84-94,0,0,0,7.43,0,0,6.37,0,0,2.12,4.25,1.06,0,1.06,0,0,1.06,24.43,0,2.12,2.12,7.43,1.06,0,1.06,0,0,0,0,0,0,0,0,1.06,0,2.12,4.25,0
 96-106,0,0,0,2.19,0,1.09,0,0,0,0,2.19,0,0,1.09,0,0,0,6.56,0,1.09,2.19,2.19,0,0,0,0,0,2.19,0,0,0,0,0,1.09,2.19,2.19,2.19,1.09
108-118,0,0,0,1.53,1.53,0,3.83,0.77,0.77,0,3.06,0,0,2.3,0,0,0,13.02,0,1.53,3.06,6.13,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77,2.3,1.53,0
120,0,0,0,0,3.92,0,3.92,1.96,3.92,0,3.92,0,0,1.96,0,0,0,3.92,0,0,1.96,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
