stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,649.74,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,21.03,0,10.51,0,0,21.03,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,270.76,5.26,0,0,102.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,198.26,12.59,0,0,62.94,0,0,3.15,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,14,8,6,0,0,5,0,0,0,0,1,0,0,0,0,6,0,0,16,167,3,0,2,4,0,1,2,22,1,1,18,58,0,3,0,1
 24-34,0,0,0.82,0,2.46,0,15.6,0,0.82,2.46,0.82,0,0.82,0.82,0,0,0,0.82,0,13.95,0,0,5.75,250.36,0,2.46,3.28,0,0.82,1.64,0,0,0,0,3.28,44.33,0,4.1,0,0
 36-46,0,0,0,0,0.81,0,42.7,0.81,1.61,3.22,0,0,0.81,0,0,0,0,0,0.81,21.75,0,0,7.25,279.57,0,2.42,1.61,0,0,0.81,0,0,0.81,0,0,58.81,0,4.03,0,0.81
 48-58,0,0,0.57,0,1.15,0,51.64,0,0.57,9.75,0,0,1.15,0,0,0.57,0,0,0,23.53,0.57,1.15,3.44,204.85,0,0,0.57,0,0,0.57,0,0,0,0,0,45.33,0,1.15,0,0
 60-70,0.98,0,0,0,0.98,0,34.35,0,0.98,8.83,0,0,0,0,0,0,0,0,0,21.59,0,0,1.96,113.86,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0
 72-82,0,0,0,0,0,1.96,28.47,0,0,8.83,0,0,0.98,0.98,0,0.98,0.98,0.98,0,17.67,0,1.96,1.96,91.29,0,0,3.93,0,0,0.98,0,0,0.98,0,0,8.83,0.98,0.98,0.98,0
 84-94,0,0,0,0,2.12,0,28.68,0,0,4.25,1.06,0,0,3.19,0,0,0,0,0,16.99,0,0,2.12,94.52,0,1.06,2.12,0,0,0,0,0,0,0,0,10.62,1.06,1.06,0,0
 96-106,0,0,0,0,4.37,1.09,19.67,0,3.28,4.37,0,0,1.09,3.28,1.09,1.09,1.09,0,0,17.49,0,0,2.19,76.5,1.09,4.37,1.09,0,0,2.19,0,0,0,0,0,5.46,0,2.19,0,0
108-118,0,0,0,0,1.53,0,13.79,1.53,0,3.83,0.77,0,0.77,0,0,0.77,0.77,0,0,11.49,0,1.53,3.83,71.23,0.77,0.77,3.06,0,0.77,0,0,0,0,0,0,2.3,0.77,0,0,0
120,0,0,0,0,0,3.92,13.72,1.96,0,3.92,0,0,1.96,3.92,0,1.96,0,0,0,3.92,0,0,3.92,96.03,0,1.96,0,0,0,3.92,0,0,0,0,0,1.96,0,1.96,0,0
