stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
 24-34,0,0,0.82,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,1.15,0,0,0,0.57,0.57,0.57,0,4.59,0.57,0,0,0.57,0,0,0,0,0
 60-70,0,0.98,3.93,0,0.98,0,0,0,0.98,0,4.91,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,0.98,0,0.98,2.94,3.93,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,0,2.12,0,1.06,1.06,0,0,0,0,2.12,0,0,0,0,3.19,0,0,1.06,0
 96-106,1.09,1.09,1.09,0,2.19,0,0,0,1.09,1.09,3.28,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,3.83,0,0,0.77,0,0,0,0,3.83,0,0,0,0,0.77,0,0,0,0
120,0,0,3.92,0,1.96,0,0,0,1.96,1.96,1.96,1.96,0,0,0,0,0,0,0,0
