stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,110.41,5.26,0,81.49,2.63,0,0,0,0,0,0,0
 10-12,0,22.03,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,144.76,0,0,110.14,3.15,0,0,9.44,0,0,0,0
 14-21,0,1,15,1,2,1,0,0,2,0,1,0,0,0,0,54,0,21,21,0,0,29,0,0,27,0,1,33,5,0
 24-34,0,0.82,3.28,0,2.46,0,0,0,0,0,2.46,0,0.82,0,1.64,45.15,0,8.21,22.16,0,0.82,0,0.82,0,0,0,0.82,11.49,3.28,0
 36-46,0,0,1.61,0,0.81,0,0,1.61,0,0,12.89,0.81,0,0.81,0,37.06,0.81,3.22,39.48,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,2.3,0,0.57,5.16,0,0,1.72,0,0,0,0,17.21,0.57,0.57,30.41,0,0,0,0,0,0,0,0,0,9.75,0
 60-70,0,0,0,0,1.96,0,0,4.91,0,0,0,0,0,0,0,9.82,0,0,10.8,0,0,0,0,0,0,0,0,0,6.87,0.98
 72-82,0,0,0,0,0,0,0.98,9.82,0,0,0,0,0,0,0,7.85,0,0,6.87,0,0,0,0,0,0,0,0,0,2.94,0
 84-94,0,0,0,0,0,0,0,2.12,0,0,1.06,0,0,0,0,2.12,0,1.06,6.37,0,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,2.19,0,2.19,2.19,0,0,0,0,0,0,0,1.09,0,0,10.93,0,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0,0.77,2.3,0,0,0,0,0,0,0,0.77,0,0,3.06,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0
