stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,30,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,3,0,0,1,0,1,0,0
 24-34,0,59.1,0.82,0,0.82,0,0,0.82,0,0.82,0,0,0,0,0,0,2.46,21.34,0,16.42,0.82,0,2.46,0,0,3.28,0
 36-46,0,27.39,2.42,0,0,0,0.81,0,1.61,0,0,0,0.81,0.81,0.81,0,0.81,37.87,0,6.45,0,0.81,0.81,3.22,0,3.22,0
 48-58,0,24.1,5.16,0.57,1.72,0,1.15,0,0,0,0,0,0,1.72,0,0,0.57,26.4,0.57,2.87,0,0,0.57,5.16,0,1.72,0
 60-70,0,25.52,6.87,0,3.93,0,0,0,0,0.98,0.98,0,0,1.96,0,0.98,0.98,23.56,0,4.91,0.98,0,0,1.96,0,0.98,0
 72-82,0,22.58,1.96,0.98,1.96,0,1.96,0,0,1.96,0,0,0,1.96,0,0,0,24.54,0,8.83,0.98,0,0,0.98,0,0,0.98
 84-94,0,42.48,4.25,0,6.37,0,1.06,1.06,0,3.19,0,0,0,2.12,0,0,0,19.12,0,3.19,3.19,0,1.06,2.12,0,1.06,1.06
 96-106,0,46.99,1.09,1.09,1.09,1.09,0,0,0,2.19,0,0,0,3.28,0,0,0,9.84,0,6.56,1.09,2.19,1.09,2.19,0,0,1.09
108-118,0,36.77,5.36,0,12.26,0,0.77,0.77,0,0.77,0.77,2.3,0,1.53,0,0,0.77,10.72,0,8.43,2.3,1.53,0.77,1.53,0,0,0.77
120,0,48.99,5.88,0,9.8,0,0,1.96,0,0,0,0,0,0,0,0,0,19.6,0,5.88,0,1.96,1.96,1.96,0,0,0
