stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,8,82,50,113,0,0,0,12,1,3,1,0,5,1,0,1,1,53,1,0,35,852,4,3,13,23,0,4,1,160,5,3,199,220,0,0,3,0,1
 24-34,0,0,1.64,9.85,9.85,87.83,0,1.64,0,7.39,1.64,0,1.64,0.82,1.64,0.82,0,0.82,0.82,40.22,0,0.82,20.52,490.05,2.46,1.64,4.1,0,0.82,3.28,0,1.64,0.82,0.82,27.91,98.5,0,0,9.85,0,0.82
 36-46,0,0,0,9.67,0.81,221.56,0,0.81,3.22,21.75,0.81,0,0,0.81,0,4.03,2.42,1.61,0,83.79,0,1.61,24.17,634.87,0,2.42,2.42,0,0,4.03,0,0,0,0,0,135.35,0,0,5.64,0,0
 48-58,0,0,0,8.61,1.72,227.8,0,0.57,2.87,37.3,2.3,0,0.57,0.57,2.3,1.72,2.3,1.72,0,80.91,0,2.3,21.8,362.64,1.15,1.15,3.44,0,0.57,1.72,0,0,0.57,0,0,65.99,0,0,6.31,0,2.87
 60-70,0,0,0,5.89,1.96,177.66,2.94,1.96,1.96,33.37,1.96,0.98,0,1.96,0.98,0,0.98,1.96,0.98,71.65,0.98,2.94,16.69,219.86,0,0.98,2.94,0,0,0.98,0,0,0,0,0,24.54,0,1.96,3.93,0,0
 72-82,0,0,0,7.85,0.98,92.28,0,0.98,1.96,26.5,4.91,0,0.98,3.93,3.93,0,0.98,1.96,0,44.17,0,1.96,8.83,119.76,0,0.98,0.98,0,0,0.98,0,0,0.98,0,0,5.89,0.98,0.98,0.98,1.96,0.98
 84-94,0,0,0,8.5,6.37,97.71,0,0,2.12,19.12,2.12,0,1.06,5.31,0,0,2.12,0,1.06,45.67,0,1.06,18.05,93.46,0,1.06,1.06,0,0,12.74,0,0,0,0,0,19.12,0,1.06,4.25,3.19,0
 96-106,0,1.09,0,26.23,17.49,84.15,0,1.09,6.56,34.97,4.37,0,2.19,7.65,1.09,1.09,1.09,2.19,1.09,68.85,2.19,3.28,31.69,107.1,2.19,0,0,0,0,24.04,0,0,1.09,0,0,5.46,1.09,4.37,8.74,2.19,3.28
108-118,0,0.77,0,36.77,3.83,44.43,0,2.3,1.53,16.85,4.6,0,2.3,6.13,1.53,1.53,2.3,0,1.53,50.55,0.77,2.3,19.92,91.15,0.77,0.77,3.06,0,0.77,24.51,0,0,0,0,0,3.83,0.77,0.77,3.06,0.77,0.77
120,0,0,0,19.6,5.88,35.28,1.96,1.96,1.96,11.76,0,0,0,3.92,1.96,0,0,0,0,35.28,0,1.96,17.64,50.95,0,0,0,0,1.96,11.76,0,0,0,0,0,3.92,0,0,3.92,0,0
