stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,461.23,9448.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.58,0,0,0,0,0,0,0
  5-6,239.06,2942.22,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,91.94,0,0,0,12.26,61.3,0,0,0,0,0,0,0
  7-9,18.4,13.14,49.95,0,0,36.8,0,0,0,0,0,47.32,0,0,0,0,0,0,557.29,18.4,0,0,144.58,5.26,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,122.73,0,0,0,28.32,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,9,0,1,0,0,0,2,0,0,0,0,1,1,0,2,26,0,0,0,2,1,4,0,1,10,0,1,0
 24-34,0,0,0,3.28,0,8.21,0,0,0,0.82,0,0,0,0,0,4.1,0.82,0,41.86,0.82,0,0,0,0.82,0,0,0,9.03,0,2.46,0.82
 36-46,0,0,0,0,0.81,10.47,0,0,0,0.81,0,0,0,0,0,4.03,0,0.81,27.39,0.81,1.61,0,0,0,0,0,0,7.25,0,0,0
 48-58,0,0,0,0,0,9.18,0.57,0,0,3.44,0,0,0.57,0,0,3.44,0,1.72,19.51,0,0,0,0,0.57,0,0,0,4.02,0,0,0
 60-70,0,0,0,0,0,9.82,0,0,0.98,4.91,0,0,0,0,0,5.89,0,0,15.7,0,0,0,0,0.98,0,0,0,3.93,0,0,0
 72-82,0,0,0,0.98,0,5.89,0,0,0,3.93,0,0,0,0.98,0,7.85,0,0.98,10.8,0.98,0,0,0,0,0,0,0,3.93,0,1.96,0
 84-94,0,0,0,2.12,0,5.31,0,0,0,0,0,0,0,0,0,2.12,0,1.06,5.31,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,6.56,0,0,0,5.46,1.09,0,0,0,1.09,3.28,0,2.19,8.74,0,0,1.09,0,2.19,0,0,0,2.19,0,0,0
108-118,0,0,0,0,0,2.3,0,0.77,0,3.06,0,0,0,0,0,1.53,0.77,0,12.26,0,0.77,0,0,2.3,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,0,3.92,1.96,0,0,0,1.96,0,0,0,0,0,0,0
