stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4,0,1,3,0,0,6,0,0,0,0,0,3,0,0,0,2
 24-34,0,0,0.82,1.64,0,0,0.82,8.21,0.82,13.13,4.93,0,1.64,12.31,0,0,0,0,0.82,1.64,0,0.82,0,7.39
 36-46,0,0,0.81,4.03,0.81,0,0,11.28,0,12.09,8.86,0,0.81,3.22,0,0,0,0,0,4.83,0,0,0,7.25
 48-58,0,0,0,3.44,1.72,0,0,13.2,0,21.8,5.16,0,0,8.03,0.57,0,0,0,0.57,1.15,0,0,0,6.89
 60-70,0,0,0,5.89,5.89,0,0.98,10.8,0,8.83,5.89,0,0.98,7.85,0,0,0,0.98,0,1.96,0,0.98,0,11.78
 72-82,0,0.98,0,2.94,28.47,0,0.98,26.5,0,3.93,7.85,0,1.96,11.78,0,0,0,0,0,0.98,0.98,2.94,0,6.87
 84-94,0,0,0,1.06,10.62,0,0,33.99,1.06,5.31,10.62,0,1.06,2.12,0,0,0,1.06,0,1.06,1.06,1.06,0,1.06
 96-106,0,0,0,3.28,3.28,0,0,48.09,1.09,1.09,5.46,1.09,1.09,6.56,1.09,0,0,0,0,0,3.28,2.19,0,3.28
108-118,0,0,0,0,12.26,0.77,0,35.23,1.53,6.89,7.66,0.77,0,12.26,0,0.77,0.77,0.77,0,0,2.3,0.77,0.77,8.43
120,0,0,0,1.96,7.84,0,0,37.24,0,3.92,1.96,0,0,7.84,0,0,3.92,0,0,0,1.96,0,0,0
