stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,1,0,0,0,0,3,0,0,1,0,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,0,0,4.93,0,0,0.82,36.94,1.64,0.82,0,0,0,1.64,0,9.85,0,0,1.64,0,0
 36-46,0,0,0,0,9.67,0,0,0,0,0,0,0,3.22,0,0,0,32.23,0.81,0.81,0,0,0,0.81,0,3.22,0,0,0,0,0.81
 48-58,0,0.57,0,0.57,12.05,0,0,0.57,0,0,0,0,6.31,0,0,0,33.28,0,1.15,0,0,0,0.57,0,5.16,0,0,0,0,0
 60-70,0,0,0,0,18.65,0.98,0.98,0.98,0,0,0,0,5.89,0,0.98,1.96,28.46,0,0,0,0,0,0,0,4.91,0,0.98,0,0.98,0
 72-82,0,0,1.96,0.98,24.54,0.98,0.98,9.82,0.98,0,0.98,0,13.74,0,0,0,55.95,0,0.98,0,0,0,0.98,0,3.93,0,0,0,0.98,0
 84-94,0,0,1.06,0,7.43,0,0,4.25,0,0,0,0,3.19,0,1.06,0,7.43,0,1.06,0,0,0,1.06,0,3.19,0,0,0,0,0
 96-106,0,0,1.09,3.28,6.56,0,1.09,4.37,1.09,1.09,1.09,1.09,8.74,2.19,1.09,0,22.95,0,0,3.28,0,0,3.28,0,0,1.09,0,2.19,0,1.09
108-118,0,0,0.77,0.77,3.06,0,0,3.06,0,0,0,0,0.77,0,0,0.77,7.66,0,0,1.53,0,0.77,0.77,0,0,0,0,0,0.77,0
120,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0
