stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,7.89,0,5.26,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,11,1,0,0,0,0,7,1,2,0,0,0,1,3,0
 24-34,0,0,0,0.82,0,0,0,0,0,1.64,0,7.39,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0.81,0.81,0.81,0,0.81,0,3.22,0.81,0,0.81,0,0.81,0
 48-58,0,0,0,0,0,1.72,0,0.57,0,1.72,0,4.59,0,0,0.57,0,1.15,0
 60-70,0,0,0,0,0,1.96,0,0,0,1.96,0,4.91,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0.98,1.96,0,0,0.98,0.98,0,5.89,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,6.37,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,1.09,1.09
108-118,0,0,0,0.77,0,1.53,0.77,0,0,0.77,0,3.83,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,5.88,0,0,1.96,0,0,0
