stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,1,0,0,1,0,9,14,4,0,0,0,0
 24-34,0,0,0,0,4.1,10.67,0,0,0,0.82,0,4.1,0,0,0,0.82,0,3.28,0,10.67,26.27,0.82,0.82,0,0,0,0,0.82,18.88,18.88,6.57,0,0.82,0,2.46
 36-46,0,0,0,0,4.03,16.11,0,0,1.61,0,0,2.42,0,0,0,0,0,0.81,0,4.83,16.92,0,1.61,0,0,0,0.81,0,9.67,0.81,3.22,0,0,0,0
 48-58,0,1.15,0,0,5.16,29.84,0.57,0,4.02,0,0.57,1.72,0,0,0,0,1.15,2.87,0,3.44,22.38,1.15,0,0.57,0,0,2.3,0.57,13.77,0,6.31,0,0,0,0
 60-70,0,2.94,0.98,0,5.89,24.54,0,0,0.98,0,0,0.98,0,0,0,0,0,3.93,0.98,4.91,17.67,1.96,0,0,0.98,0,0.98,0,14.72,0,6.87,0,0,0,0
 72-82,0,1.96,0.98,0,7.85,19.63,0,0.98,5.89,0,0,0.98,0.98,0,0,1.96,0,7.85,0.98,9.82,19.63,0.98,0,0,0,0,1.96,0.98,10.8,0,1.96,0,0,0.98,0
 84-94,0,0,1.06,0,10.62,22.3,1.06,1.06,0,0,0,1.06,0,2.12,0,2.12,0,2.12,0,9.56,7.43,1.06,1.06,1.06,0,1.06,0,1.06,13.81,0,0,0,0,0,0
 96-106,0,3.28,1.09,0,8.74,43.71,0,2.19,3.28,0,0,1.09,1.09,0,1.09,0,0,14.21,1.09,6.56,18.58,0,0,0,1.09,0,4.37,2.19,13.11,0,0,1.09,0,1.09,2.19
108-118,0,0,0.77,0.77,6.13,41.36,0,0.77,2.3,0,0,0.77,0,0,0,2.3,0,5.36,0,10.72,13.79,0,0,0,0,0,2.3,1.53,16.09,0,0,0,2.3,0,0
120,0,3.92,0,0,9.8,37.24,0,0,3.92,0,0,1.96,0,0,0,0,0,7.84,0,5.88,11.76,0,0,0,0,0,1.96,0,7.84,0,0,0,3.92,0,0
