stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.54,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,631.35,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,13.14,0,99.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.35,6.29,0,0,31.47,0,40.91,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,203,0,1,2,0,0,0,0,0,9,0,0,0,0,4,2,0,0,14,0,2,8,0,0,446,2,0,1,3,4,0,0,0,0,1
 24-34,0,0,0,9.03,68.95,0,1.64,9.85,0,3.28,0,0,0,13.95,0,5.75,1.64,0.82,1.64,5.75,0,5.75,33.66,0,9.03,12.31,0,0,583.63,0,0.82,0,0,9.85,0,0,0.82,0,0
 36-46,0,0,0,0.81,35.45,0,4.03,11.28,0,1.61,1.61,0,0,4.03,0,8.06,0,0.81,2.42,4.03,0,0.81,26.59,0,2.42,13.7,0,0,437.48,0,0,0,0,8.86,0,0,0,0,0
 48-58,0,0,0,0.57,34.43,0.57,9.75,14.35,0,2.3,0,4.59,0,1.72,3.44,8.03,0,0,2.87,3.44,0,1.15,32.71,0,1.15,10.33,0,0,366.09,0,0,0,0,7.46,0,0,0,0,0
 60-70,0,0,0,0,65.76,0,13.74,26.5,0.98,0.98,9.82,2.94,0,5.89,14.72,7.85,0,0,4.91,1.96,0,0,11.78,0,1.96,11.78,0,0,341.57,0,0,0,0,2.94,0.98,0,0,0,1.96
 72-82,0,0,0,0,91.29,0,15.71,15.71,0.98,3.93,32.39,6.87,0,19.63,25.52,16.69,0,0,4.91,7.85,0,0,30.43,1.96,2.94,17.67,0,0,421.13,0,0,0,0,0,1.96,0,0.98,0.98,0.98
 84-94,0,0,0,0,156.12,0,5.31,37.17,0,5.31,70.09,6.37,0,33.99,15.93,9.56,0,0,5.31,5.31,0,0,15.93,0,11.68,14.87,0,0,918.66,0,1.06,0,0,0,10.62,0,1.06,0,1.06
 96-106,0,0,1.09,5.46,229.5,3.28,10.93,30.6,0,5.46,89.61,0,3.28,56.83,12.02,17.49,0,0,7.65,8.74,0,0,32.79,0,24.04,25.14,0,1.09,926.73,0,0,0,0,1.09,13.11,0,1.09,1.09,0
108-118,0,0,0,5.36,194.55,0.77,3.06,53.62,0,3.06,78.89,0,1.53,63.57,23.74,12.26,1.53,0,4.6,15.32,0.77,0.77,21.45,0,9.96,20.68,0,0,669.45,0,0,0,0,3.06,6.89,0.77,1.53,0,0
120,0,0,1.96,1.96,190.1,1.96,7.84,52.91,0,3.92,47.03,0,0,17.64,5.88,7.84,0,0,9.8,9.8,0,0,37.24,0,13.72,15.68,0,0,413.51,0,0,0,0,0,3.92,0,0,0,1.96
