stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,42.06,2.63,0,10.51,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,4,0,0
 24-34,0,0,0,2.46,0,0.82,0,0,0,0,0,0,2.46,0,2.46,21.34,0,0.82,0,0,0.82,0,0.82,4.93,0,0
 36-46,0,0,0,4.83,0.81,0.81,0,0,0.81,0,0,0,0,0,0,24.98,0,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,3.44,0,0.57,0,0,0,0.57,0,0,4.02,0,0,20.66,0,0,0,0,0,0,0,3.44,0,0.57
 60-70,0,0,0,8.83,0,1.96,0,0,0,0.98,0.98,0,3.93,0,0,19.63,0,0,0,0,0.98,0.98,0,1.96,0,0
 72-82,0,0,0,1.96,0,0,0,0,0,0.98,0,0,1.96,0.98,0,17.67,0,0.98,0,0,0,0,0,1.96,0,1.96
 84-94,0,0,1.06,3.19,0,1.06,1.06,0,0,0,1.06,0,4.25,1.06,1.06,6.37,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,6.56,0,2.19,0,0,1.09,0,0,1.09,5.46,0,0,4.37,0,2.19,0,0,1.09,0,0,0,0,0
108-118,0,0,0.77,4.6,0,1.53,0,0,0,0.77,0.77,0,3.83,0,0.77,7.66,0,0,0,1.53,0.77,0.77,0,0,0.77,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
