stage,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,3.28,0,2.46,17.24,0.82,0,0,0,2.46,0,4.93,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,30.62,0,0,0,0,1.61,0,4.83,0,0
 48-58,0,0,0,6.31,0.57,0,0,2.87,0,0,0,0,0,0,4.59,0,1.72,24.67,0.57,0,0,0,1.15,0,5.16,0,1.15
 60-70,0,0,0,12.76,0.98,0.98,0.98,2.94,0,0,0,0,0,0.98,3.93,0,0.98,48.09,0,0,0,0.98,0,0,0.98,0,0.98
 72-82,0,0,0,26.5,0,0,0,2.94,0,0,0,0,0,0,3.93,0,0,47.12,0,0,0,0,0.98,0,1.96,0.98,1.96
 84-94,0,0,0,22.3,0,0,0,0,0,1.06,1.06,0,0,0,9.56,0,0,15.93,1.06,0,0,0,6.37,0,0,0,2.12
 96-106,0,1.09,0,15.3,1.09,0,0,1.09,0,2.19,0,0,0,1.09,5.46,0,0,17.49,0,0,0,0,4.37,0,0,0,1.09
108-118,0,0.77,0.77,13.79,0,0,0,0.77,0,0,0,0,0,0,9.19,0,0,17.62,1.53,1.53,0,0,3.06,0,0.77,0,2.3
120,0,3.92,0,9.8,0,3.92,1.96,1.96,0,5.88,0,0,1.96,0,7.84,1.96,0,31.36,0,0,0,0,1.96,0,0,0,1.96
