stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,10,0,0,2,0,2,0,0,5,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,1.64,0,34.48,6.57,0,0,0,0,0,0.82,4.1,0,0,1.64
 36-46,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0.81,0,5.64,1.61,85.4,4.03,0,0,0.81,0,0,0,14.5,0,0,0.81
 48-58,0,0,0,0,0,0,5.74,0,0,1.72,0,0,0.57,0,0,0,0,0,8.03,1.72,162.39,5.74,0,0,0,0,0,0,11.48,0,0.57,0
 60-70,0,0,0,0,0,0,22.58,0,0,1.96,0,0,0,0,0,1.96,0,0,2.94,0,253.23,5.89,0,0,0,0,0,0,20.61,0,0,0.98
 72-82,0,0,0,0.98,0.98,0,29.45,0,0,7.85,0,0,0,0,0.98,0,0.98,0.98,10.8,0,278.79,9.82,0.98,0,0.98,0,0,0,11.78,0,0,0.98
 84-94,0,0,0,4.25,0,0,25.49,0,1.06,5.31,0,1.06,0,0,0,0,0,0,6.37,0,151.87,5.31,0,0,0,0,0,0,9.56,1.06,0,1.06
 96-106,0,0,0,0,0,1.09,21.86,1.09,0,2.19,0,0,0,0,0,0,1.09,0,7.65,0,150.81,9.84,0,0,0,0,1.09,0,6.56,0,0,0
108-118,0,0,0.77,0.77,0,0,11.49,0,0,3.06,0.77,0,0,0,0,0.77,0.77,0,7.66,0,140.17,11.49,0.77,0,0,0,0,0,3.83,0,0,0.77
120,0,0,0,1.96,0,0,19.6,0,0,1.96,0,0,0,0,1.96,0,0,0,7.84,0,164.62,7.84,0,0,1.96,0,0,0,9.8,0,0,0
