stage,blastomeres,endoderm,eye,gut,immune,mesenchyme,neural,notochord,paraxial.mesoderm,pgc,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.51,2.63,5.26,0,0,0
 10-12,0,3.15,0,0,0,0,15.73,0,6.29,3.15,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0.82,0
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,1.96,0.98,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,12.76,1.96,0.98,0,0,0,0,1.96
 84-94,0,0,0,0,4.25,1.06,1.06,0,0,0,0,1.06
 96-106,0,0,1.09,1.09,16.39,2.19,0,0,0,0,0,0
108-118,0,0,0,0,17.62,2.3,2.3,0,0,0,0,0
120,0,0,0,0,7.84,5.88,1.96,0,0,0,0,0
