stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,4,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0.82,0.82,0,0,0.82,0,0,2.46,18.88,0,0,0,0,0,0,4.93,0,0,0,0.82
 36-46,0,0,0,4.83,0,0.81,0,0,0.81,0,0.81,0.81,0,0,0,23.36,0.81,0,0,0,0,0,4.83,0,0.81,0,0.81
 48-58,0,0.57,0,5.74,0.57,0,0.57,0,0,0,0,0,0,0,0,10.33,0,0,0,0,0,0,3.44,0,0,0,0
 60-70,0,0,0,8.83,0,0,4.91,0,0,0,0,0.98,0,0,0.98,17.67,0,0,0,0.98,0,0,3.93,0,0,0,0
 72-82,0,0,0,11.78,0,0,4.91,0,0,0,0,2.94,0.98,1.96,0.98,21.6,0,0,0,0.98,0.98,0,4.91,0,0,0.98,0
 84-94,0,0,1.06,5.31,0,0,1.06,1.06,0,0,0,2.12,0,0,0,2.12,0,0,0,0,0,0,2.12,0,1.06,0,0
 96-106,0,0,0,1.09,0,0,4.37,1.09,0,0,0,1.09,0,0,0,3.28,0,1.09,0,2.19,0,0,0,0,1.09,0,0
108-118,0,0.77,0,1.53,0,0,1.53,0,0,0.77,0,1.53,0,0,0,9.96,0,0,0,0,0,0,2.3,0.77,0,0,0
120,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,11.76,1.96,1.96,0,3.92,0,0,1.96,0,0,0,0
