stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,24.52,478.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,12.26,0,0,0,0,0,0
  7-9,0,2.63,13.14,0,0,23.66,0,0,0,0,7.89,0,0,0,0,0,0,176.12,5.26,0,0,60.46,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,125.88,3.15,0,0,56.65,0,0,6.29,0,0,0,0
 14-21,0,0,0,7,1,4,0,0,2,0,0,0,0,0,0,1,1,45,1,0,1,1,0,9,0,15,9,0,0
 24-34,0,0,0.82,1.64,0,6.57,0,0.82,0,0,0,0.82,0,0,0,6.57,3.28,34.48,0,0,0.82,0,4.1,0,0,0,6.57,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0,0,1.61,0,2.42,0.81,20.95,0,0.81,0.81,0,0.81,0,0,0,4.83,0,0
 48-58,0,0,0,1.72,0,4.59,0,0,1.15,0,0,0,0,0,0,2.87,0.57,11.48,0,0,0,0,0.57,0,0,0,4.02,0,0
 60-70,0,0,0,0.98,0,6.87,0,0,0,0,0,0,0,0,0,4.91,0,3.93,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,3.93,0,1.96,1.96,0,0,0.98,0,0,0,6.87,0,7.85,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,3.19,0,1.06,3.19,0,6.37,2.12,0,1.06,1.06,0,0,3.19,1.06,6.37,0,0,0,0,4.25,0,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,0,4.37,0,1.09,3.28,0,0,0,0,0,1.09,7.65,0,5.46,0,0,3.28,0,4.37,0,0,0,1.09,0,0
108-118,0,0,0,2.3,0,3.06,0,0,7.66,0,0,0,0.77,0,0.77,9.19,2.3,7.66,0,0,1.53,0,2.3,0,0,0,0.77,0.77,0.77
120,0,0,0,1.96,0,0,0,0,5.88,0,0,0,0,0,0,3.92,3.92,13.72,0,0,0,0,5.88,0,0,0,0,0,0
