stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,10.51,0,0,0,26.29,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,210.3,7.89,0,0,113.03,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,18.88,25.18,0,3.15,0,53.5,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,346.17,15.73,0,0,154.2,0,0,0,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,7,33,7,0,32,0,0,4,2,0,0,1,1,0,0,0,1,23,0,14,335,23,1,3,10,0,3,1,28,4,14,88,0,0,1,0,0
 24-34,0,0,0.82,4.93,0.82,0,38.58,0,0,4.93,0,0,0,0,0,0,1.64,0.82,0,24.63,0,9.85,282.37,5.75,1.64,0.82,0,0,6.57,0,0,0,1.64,54.18,0,0,0.82,0,0
 36-46,0,0,0,6.45,1.61,0,66.06,0,0.81,5.64,0,0,0,1.61,0,0,0,0,0,16.11,0,6.45,162.75,3.22,2.42,1.61,0,0,9.67,0,0,0,0,41.09,0,0.81,1.61,0,0
 48-58,0,0,0,3.44,0.57,0,49.92,0.57,1.72,9.18,0.57,0.57,0,0,0,1.15,0,1.15,0,24.1,0.57,5.74,45.33,0,0.57,1.72,0,0,4.02,0,0,0,0,5.74,0,0,2.87,0,0.57
 60-70,0,0,0,6.87,0,0,54.97,1.96,2.94,15.7,1.96,0,0.98,0,0,0,0,0,0,29.45,1.96,3.93,52.02,0.98,0,0.98,0,0,3.93,0,0,0,0,5.89,0,0,0.98,0,0
 72-82,0,0,0,1.96,0,0,15.71,1.96,1.96,15.71,0,0,0.98,0.98,0,0,0,0,0,49.08,0,4.91,30.43,0.98,0,2.94,0,0,0.98,0,0,0,0,1.96,0,0,1.96,0.98,0.98
 84-94,0,0,0,6.37,0,0,15.93,1.06,0,7.43,1.06,0,0,2.12,0,1.06,0,3.19,0,39.3,2.12,2.12,19.12,1.06,2.12,2.12,0,0,19.12,0,0,0,0,3.19,0,1.06,2.12,0,0
 96-106,0,0,0,8.74,1.09,0,14.21,4.37,3.28,17.49,0,0,0,5.46,0,0,1.09,1.09,0,46.99,2.19,2.19,29.51,1.09,3.28,4.37,0,2.19,13.11,0,0,1.09,0,2.19,2.19,2.19,3.28,0,0
108-118,0,0,0,6.13,0.77,0.77,13.79,6.13,3.83,9.19,1.53,0,0,5.36,2.3,1.53,1.53,1.53,0,37.53,1.53,7.66,43.66,1.53,0.77,3.83,0,0.77,5.36,0,0,0,0,2.3,2.3,2.3,1.53,0,1.53
120,0,0,0,9.8,1.96,0,13.72,13.72,0,13.72,1.96,0,1.96,5.88,0,1.96,0,1.96,0,29.4,0,5.88,19.6,0,0,0,0,0,5.88,0,0,1.96,0,0,0,0,1.96,1.96,0
