stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,2,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,114.92,0.82,0.82,0,0,2.46,0,22.98,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,6.45,0,0,0,0.81,0,0,0,0,0,0,0,2.42,0,0,0,359.33,0,0,0,0,2.42,0,56.4,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,80.33,0,0,0,4.59,0,0,0,0,0,0,0,5.16,0.57,0.57,2.87,573.8,0,0,1.15,0,1.15,0,68.28,0,0,0,0,1.72
 60-70,0,0,0,1.96,0,0,397.52,0.98,0.98,0.98,11.78,0,0.98,0,0,0,0.98,0.98,15.7,0.98,0,0.98,1057.1,0.98,0,0,0,2.94,0,90.3,0,0,0,0,1.96
 72-82,0,0,0,8.83,0.98,0,803.98,0,0.98,1.96,25.52,1.96,0,0.98,0,0,0,0.98,18.65,0,0,1.96,1306.59,0,0.98,1.96,0,1.96,0,65.77,0,0.98,2.94,1.96,1.96
 84-94,0,0,0,16.99,2.12,0,430.13,0,2.12,1.06,38.23,3.19,0,0,1.06,1.06,0,1.06,19.12,0,1.06,3.19,682.89,0,1.06,1.06,0,12.74,0,54.16,0,2.12,2.12,1.06,0
 96-106,0,0,1.09,14.21,4.37,0,410.91,1.09,1.09,0,27.32,1.09,1.09,0,1.09,0,2.19,2.19,14.21,0,0,4.37,648.06,0,0,1.09,0,4.37,3.28,25.14,1.09,1.09,1.09,1.09,0
108-118,0,0,0,8.43,2.3,0,299.49,0.77,1.53,0.77,22.21,2.3,0,1.53,0,0,2.3,0,16.85,0,0,3.06,671.75,0,0.77,0.77,0.77,2.3,1.53,13.79,0,0.77,2.3,0.77,0.77
120,0,0,0,23.52,1.96,1.96,327.28,1.96,3.92,0,25.48,0,3.92,1.96,0,0,0,1.96,29.4,0,0,1.96,934.82,0,0,1.96,0,0,0,33.32,1.96,0,0,0,0
