stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,49.95,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,69.23,0,0,18.88,0,0,9.44,0,0,0,0
 14-21,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,35,0,1,0,0,6,0,3,16,0,0
 24-34,0,0,0,0.82,0,5.75,0,0.82,0,0.82,0,2.46,2.46,0,2.46,39.4,0,0,0,0.82,0,0,0.82,4.1,0,1.64
 36-46,0,0,0,0,0,5.64,0,0.81,0,0,0,0.81,2.42,0,0.81,12.09,0.81,0,0,1.61,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,6.89,0.57,0.57,0,0,0.57,3.44,2.87,0,1.15,8.03,0,0,0,0,0,0,0,2.3,0,1.15
 60-70,0,0,0,0,0,3.93,0,2.94,0,0,0,0,0,0.98,0,7.85,0,0.98,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,3.93,0,2.94,0,0.98,0,1.96,7.85,0,0,5.89,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,4.25,1.06,0,0,1.06,0,2.12,2.12,0,0,3.19,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,2.19,0,2.19,0,0,0,0,2.19,0,1.09,5.46,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0.77,2.3,0.77,1.53,0.77,0,0.77,0.77,1.53,0,0,3.06,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
