stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,22,1,0,2,0,0,0,0,1,3,8,0,0,1,0,0
 24-34,0,0,0,1.64,4.93,0,5.75,0,0,0,1.64,0.82,0,0.82,0,0.82,0,0,0,0,7.39,0,0.82,4.1,79.62,0,3.28,1.64,0,1.64,0.82,0,0,0,18.06,0,0,3.28,0,0.82
 36-46,0,0,0,0,1.61,0.81,11.28,0,0,0,8.06,0,0,1.61,0.81,1.61,0,0,0.81,0,6.45,0,2.42,4.83,215.11,0,8.06,2.42,0,0,4.03,0,0,0,38.67,0,0,4.03,0,0
 48-58,0,0,0,0,6.31,0,49.35,0,0.57,0,20.66,0,0,1.72,0.57,1.15,0.57,0,0.57,0,15.49,0,1.72,4.02,527.33,0,9.18,4.59,0,0.57,0.57,0,0.57,0,29.84,0,0,4.02,0,0
 60-70,0,0,0,0,1.96,0,90.3,0,0,1.96,16.69,0.98,0,1.96,0.98,0,0,0.98,0,0,25.52,0.98,0,0,1196.48,0,9.82,3.93,0,3.93,2.94,0,0,0,26.5,0,1.96,2.94,0.98,0.98
 72-82,0,0,0,0,11.78,1.96,184.55,0,0,0.98,32.39,0.98,0,4.91,0.98,2.94,0,0,0,0,36.32,0,0,3.93,1174.07,0,16.69,16.69,0,1.96,1.96,0,0,0,33.38,0.98,0.98,3.93,0,0
 84-94,0,0,2.12,0,14.87,2.12,131.69,0,0,1.06,41.42,1.06,1.06,4.25,3.19,4.25,0,2.12,0,0,22.3,1.06,5.31,2.12,609.61,0,6.37,6.37,0,2.12,5.31,0,1.06,0,18.05,0,1.06,6.37,1.06,3.19
 96-106,1.09,0,0,1.09,18.58,2.19,103.82,0,1.09,0,38.25,3.28,0,4.37,0,2.19,0,0,0,0,18.58,0,0,3.28,499.43,0,12.02,17.49,0,4.37,4.37,0,0,0,9.84,1.09,4.37,8.74,0,2.19
108-118,0,0,0.77,0,9.19,1.53,60.51,0,0,1.53,22.21,0.77,0,4.6,2.3,0.77,1.53,0,0,1.53,16.85,0.77,0,2.3,636.52,0,3.83,7.66,0,0,2.3,0,0,0,9.19,1.53,0.77,8.43,0,0
120,0,0,0,0,23.52,3.92,105.83,1.96,0,1.96,39.2,0,0,9.8,1.96,0,1.96,0,0,0,21.56,0,1.96,3.92,740.8,0,7.84,3.92,0,0,5.88,0,1.96,0,7.84,0,1.96,7.84,0,0
