stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,38.67,0.81,0,1.61,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0.57,0,0,0,0,33.85,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,5.89,0,0.98,0,0,0,0,0,0,84.41,0,0,0.98,0,0,0
 72-82,0,0.98,0,0,8.83,0,0.98,0,0,0,0,0.98,0,83.44,0,0.98,1.96,0,0,0
 84-94,0,0,0,0,12.74,0,3.19,0,0,0,0,1.06,1.06,70.09,0,0,0,0,1.06,0
 96-106,0,1.09,0,0,16.39,1.09,0,1.09,0,0,0,1.09,0,68.85,0,0,1.09,1.09,0,0
108-118,0,0,0,0.77,13.79,0.77,3.83,0,0,0,0,0.77,0,49.79,0,0,0,0,0,0.77
120,0,0,0,0,29.4,0,1.96,0,0,1.96,1.96,0,0,105.83,0,0,0,0,0,0
