stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2,0,0,0,0,1,0,1,69,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0,0,2.46,0,0,1.64,546.69,9.03,0,0,0,0.82,0,0,0,176.48,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,39.48,0,0,0.81,4.83,0,0,0,0,0,0,0,0.81,0.81,1.61,0,0,1.61,1967.44,16.11,0,0,0,1.61,0,0,0,389.94,0,0,2.42,0,0.81
 48-58,0,0,0,4.02,0,0,245.59,0.57,0.57,1.72,17.21,0,0,0,1.72,0,0,0,0,1.72,10.9,0.57,0,3.44,2121.36,6.89,1.15,0,0,1.72,0,0,0,401.66,0,0,1.15,0,1.72
 60-70,0,0,0,1.96,0,0,910.85,0.98,0,0,37.3,0,0.98,0.98,3.93,0,0,0,1.96,0,11.78,0.98,0,3.93,3323.43,4.91,0,0,0,4.91,0,0,0,434.81,0,1.96,0.98,0,0
 72-82,0,0.98,0,9.82,1.96,0,799.07,0,0,1.96,54.97,0,0,0.98,0,0,0,0.98,0.98,0.98,38.28,0,0.98,2.94,2308.87,9.82,1.96,0,1.96,2.94,0,0.98,0,228.73,0,1.96,2.94,0,2.94
 84-94,0,2.12,0,15.93,1.06,0,455.61,0,0,1.06,54.16,0,0,2.12,1.06,1.06,1.06,0,0,1.06,35.05,0,2.12,2.12,1120.45,7.43,0,0,0,6.37,0,0,0,141.25,1.06,0,0,1.06,0
 96-106,0,0,0,13.11,1.09,1.09,377.03,1.09,2.19,0,39.34,1.09,0,1.09,1.09,0,1.09,0,1.09,1.09,24.04,0,0,2.19,883.02,13.11,1.09,0,0,6.56,0,0,0,49.18,0,0,3.28,1.09,2.19
108-118,0,1.53,0.77,11.49,2.3,1.53,273.45,0.77,0,0,27.57,2.3,0,0,1.53,0,0.77,0,0,0.77,19.15,0,0.77,0,1114.48,15.32,0,0,0,3.06,0,0,0,51.32,2.3,0,0.77,0.77,0
120,0,1.96,0,7.84,3.92,1.96,209.7,1.96,0,0,21.56,0,0,0,0,0,1.96,0,3.92,0,13.72,0,1.96,1.96,911.3,3.92,0,0,0,0,0,0,0,25.48,0,0,1.96,0,0
