stage,axial,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,somites,spinal_cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,86,0,0,0,9,0,0,5,0,7,1,0,0,0,0
 24-34,0,2.46,0,0.82,0,0,0,104.25,0,0,0,16.42,0,0,3.28,0,1.64,0,0,0,0,0
 36-46,0,3.22,0,0,0,0,0,29.81,0,0,0.81,4.03,0,0,4.03,0,1.61,0,1.61,0,0,0
 48-58,0,15.49,1.15,1.15,0,0,0,21.23,0,0,1.15,2.87,0,0.57,10.9,0.57,2.3,0,1.15,0,0.57,0.57
 60-70,0,40.24,0.98,0.98,0,0.98,0,25.52,0.98,0,0.98,1.96,0,0,5.89,0,1.96,0,0.98,0,0,0
 72-82,0,46.14,2.94,0,0,0,0,51.05,0,0,0.98,1.96,0,0,8.83,0,1.96,0,0,0,0,0
 84-94,1.06,66.91,5.31,2.12,0,0,0,108.33,1.06,0,1.06,1.06,0,0,4.25,4.25,6.37,0,0,0,0,0
 96-106,0,100.54,2.19,1.09,1.09,1.09,2.19,84.15,5.46,1.09,2.19,2.19,1.09,0,7.65,4.37,8.74,0,0,0,0,0
108-118,0.77,77.36,1.53,0.77,0,0,0.77,91.92,3.83,0.77,0,3.83,0,0,5.36,2.3,6.89,0,0.77,0.77,0,0
120,0,76.43,0,3.92,0,1.96,0,60.75,0,0,0,1.96,0,0,11.76,0,3.92,0,0,0,0,0
