stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,1,0,0,2,0
 24-34,0,0,0.82,0,0,12.31,0,0,0,0,0,0,0,0.82,0,0,0,0,0,9.03,0.82,0,0,0,0,0.82,0,2.46,0,0,4.93,0
 36-46,0,0,0,0,0,66.06,0,0.81,0.81,2.42,0,0,0,0,0,0,4.03,0,1.61,13.7,0,0,0,0,0,0,0,5.64,0,0,4.03,0
 48-58,0.57,0,1.72,0,0,146.32,0,2.87,1.15,7.46,0,0,0.57,0.57,0,0.57,5.16,0,1.72,22.38,0,0,0.57,0,1.72,0,0,4.02,0,0,2.87,0
 60-70,0,0,0,0,0,338.63,0,7.85,0,10.8,0,0.98,0,0,0,0,10.8,0,1.96,18.65,0,0,1.96,0,0.98,0,0,0.98,0,0,4.91,0
 72-82,0,0.98,0.98,0,0,299.41,0,0.98,0,22.58,0,0.98,0,0,0,0,17.67,0.98,1.96,25.52,0,0.98,1.96,0,2.94,0,0,0.98,0.98,0,5.89,0
 84-94,0,1.06,0,0,0,201.79,0,1.06,0,21.24,0,2.12,1.06,0,0,0,16.99,0,1.06,16.99,0,0,2.12,0,7.43,0,0,1.06,0,1.06,9.56,1.06
 96-106,0,0,0,1.09,0,174.86,0,0,0,17.49,0,2.19,4.37,1.09,1.09,0,24.04,0,0,28.41,0,0,0,0,5.46,1.09,0,2.19,1.09,0,8.74,2.19
108-118,0,0,2.3,0,0.77,112.6,0,3.06,0,12.26,0,1.53,0,0.77,0,0,12.26,0,2.3,13.02,0,0,3.06,0,2.3,0,0,0,0,0.77,6.13,0.77
120,0,0,1.96,1.96,0,78.39,1.96,0,0,9.8,3.92,0,0,0,0,1.96,15.68,0,3.92,31.36,0,0,1.96,0,1.96,1.96,0,0,0,0,3.92,0
