stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,52.71,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,18.39,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,7.89,10.51,0,0,23.66,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,302.3,13.14,0,0,123.55,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.46,6.29,0,0,84.97,3.15,0,0,15.73,0,0,0,0
 14-21,0,0,0,5,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,2,54,0,0,0,0,0,0,6,0,0,2,30,0
 24-34,0,0,0,1.64,0,22.98,0,0,0.82,0,0,0,0.82,0,0,0,4.93,0,0,0,126.41,0.82,1.64,2.46,0,6.57,0,0,0,0,0,28.73,0.82
 36-46,0,0,0,0,0.81,37.87,0,0,3.22,0,0,1.61,0,0,0,0,7.25,0,0,0,45.12,0,0,1.61,0,0.81,0,0,0,0,0,8.06,0
 48-58,0,0,0,1.15,0,41.31,0.57,0,2.3,0,0,0.57,0.57,0,0,0,3.44,0,0.57,0.57,24.67,0,0,0,0,0.57,0,0,0,0,0,2.87,0
 60-70,0,0,0,0.98,0,17.67,0,0,0,0,0,0,0,0.98,0,0,2.94,0,0,0,8.83,0,0,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,24.54,0,0.98,7.85,1.96,0,0.98,0,0,0,0,8.83,0.98,0,1.96,25.52,0,0,0.98,0,3.93,0,0,0,0,0,0,1.96
 84-94,0,0,0,2.12,0,3.19,0,0,1.06,0,0,0,0,0,0,0,3.19,0,0,2.12,9.56,0,0,0,0,10.62,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,2.19,0,3.28,0,0,2.19,0,0,0,0,0,0,0,3.28,0,1.09,0,5.46,0,0,0,0,7.65,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,5.36,0,0,1.53,0,0,0,0.77,0,0.77,1.53,2.3,0,0,0.77,14.55,0,0.77,0,0,8.43,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,13.72,0,0,1.96,1.96,0,0,0
