stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,2635.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,12.26,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,7.89,0,0,0,5.26,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,107.78,5.26,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.61,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,73,3,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,6,0,1,6,0,0,0,0,1,0,6,0,0,0,0,0
 24-34,0,0,0,3.28,68.95,0,0,2.46,0,9.85,0,0.82,0,0,0,0,2.46,1.64,0.82,0,0,0,36.94,9.85,0.82,2.46,0,0,3.28,0,0,0.82,8.21,0,0,0.82,0,0
 36-46,0,0,0,0,29.81,0,0,0.81,0,20.95,0,1.61,2.42,0,0,0,0.81,0.81,0,0,0,0,68.48,8.06,2.42,6.45,0,0,1.61,0,0,0,7.25,0,0,0.81,0,0
 48-58,0,0,0,0,41.31,0,0,5.74,0,26.97,0,0.57,0.57,0,0,0,4.59,0,4.02,0,0.57,0,46.48,2.3,2.87,1.72,0,0,2.3,0,0,0,6.31,0,0.57,0.57,0,0
 60-70,0,0,0.98,0,50.06,0.98,0,4.91,0.98,36.32,1.96,0.98,1.96,0,1.96,0.98,6.87,0,5.89,0.98,0,0,59.87,0.98,4.91,6.87,0,0,0.98,0,0,0,11.78,1.96,0.98,0,0.98,0
 72-82,0,0,3.93,0.98,79.51,0.98,0,17.67,0,35.34,2.94,2.94,14.72,0.98,1.96,1.96,17.67,1.96,15.71,0.98,0.98,0,94.24,0.98,3.93,9.82,0,0,2.94,0.98,0,0,17.67,4.91,2.94,2.94,6.87,0.98
 84-94,1.06,0,2.12,0,141.25,0,0,19.12,0,64.78,0,1.06,25.49,0,4.25,1.06,13.81,0,21.24,1.06,1.06,0,67.97,3.19,2.12,12.74,0,0,5.31,1.06,0,0,5.31,14.87,7.43,3.19,8.5,0
 96-106,0,0,5.46,1.09,175.95,1.09,0,17.49,0,71.04,2.19,10.93,54.64,0,8.74,2.19,30.6,2.19,28.41,2.19,1.09,0,67.76,4.37,7.65,20.76,0,0,7.65,1.09,0,0,6.56,7.65,5.46,3.28,14.21,0
108-118,0,0,1.53,2.3,164.68,1.53,0.77,9.96,0,99.58,0.77,2.3,39.83,0,8.43,3.83,19.15,0.77,32.94,2.3,0.77,0,65.11,3.83,3.06,19.15,0,1.53,8.43,0,0,0.77,5.36,12.26,3.83,2.3,7.66,0
120,0,0,0,0,154.82,0,0,13.72,0,64.67,0,1.96,56.83,0,1.96,5.88,23.52,1.96,23.52,0,0,0,80.35,3.92,5.88,11.76,0,1.96,5.88,0,0,0,5.88,5.88,0,1.96,13.72,1.96
