stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,1,0,2,41,0,0,0,0,0
 24-34,0,0,4.1,0.82,1.64,0,0,5.75,0,0,1.64,0,0,0.82,0,0,0,0,0,1.64,0,0.82,446.55,10.67,0,0,0.82,0,0,0,134.62,0,0,1.64,0,0
 36-46,0,0,2.42,0,0.81,0,0,55.59,0,0,2.42,0,0,0,0,0,0,0.81,0,1.61,0,0,1256.84,12.89,0.81,0,0,0,0,0,223.17,0,0,0.81,0,0
 48-58,0,0,1.15,0,2.3,0,0,191.65,0,0,15.49,0.57,0.57,0.57,0.57,0.57,0,0,0,8.61,0,1.72,1505.66,6.89,0.57,0,1.72,0,0,0,252.47,0,0,1.15,0,2.87
 60-70,0,0,3.93,0,2.94,0,0,358.26,0,0.98,18.65,0,0,0,0,0,0,1.96,0.98,11.78,0,0,1753.98,8.83,0,0,1.96,0,0.98,0,253.23,0,0,0.98,0.98,0.98
 72-82,0,0,7.85,0,14.72,3.93,0,359.29,0,0,23.56,3.93,0,0.98,0,1.96,0,0.98,0,19.63,0,1.96,1285.98,11.78,0,0,0.98,0,0,0,111.91,0.98,0,1.96,0,0.98
 84-94,0,0,3.19,0,7.43,1.06,0,166.74,0,1.06,20.18,2.12,0,3.19,0,1.06,1.06,0,0,12.74,0,2.12,557.57,5.31,1.06,0,4.25,0,0,0,59.47,1.06,0,0,1.06,1.06
 96-106,0,0,4.37,0,8.74,3.28,0,149.72,0,0,19.67,1.09,0,0,1.09,2.19,0,0,0,14.21,0,1.09,415.28,7.65,1.09,0,3.28,0,0,0,26.23,3.28,0,0,0,3.28
108-118,0,0,7.66,0,9.19,0,0.77,118.72,0,0.77,19.15,2.3,0,3.06,0,0,0,0.77,0.77,10.72,1.53,0.77,599.75,7.66,0,0,0,0,0,0,16.85,2.3,1.53,1.53,0,0
120,0,0,1.96,0,5.88,3.92,0,131.31,1.96,3.92,7.84,1.96,0,1.96,0,0,0,0,0,9.8,0,1.96,685.92,7.84,0,0,3.92,0,0,0,15.68,0,0,1.96,0,0
