stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,13,0,0,13,0,2,10,0,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,13.13,0,1.64,10.67,0,4.1,16.42,0,0,0,0.82,4.1,0,0,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,12.89,0,3.22,2.42,0.81,4.03,23.36,0,0.81,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,5.74,0,1.15,5.74,0,6.31,8.61,0.57,0.57,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,5.89,0.98,1.96,0.98,0,3.93,0,0,3.93,0,1.96,5.89,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,0,0,0,3.93,3.93,0,0.98,0,1.96,0,0,13.74,2.94,2.94,2.94,0,0,0,0,0,0.98,1.96,0
 84-94,0,0,0,0,0,5.31,10.62,1.06,0,1.06,4.25,0,0,4.25,1.06,3.19,1.06,1.06,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,4.37,16.39,0,0,0,10.93,1.09,0,6.56,1.09,0,2.19,0,0,0,0,0,3.28,0,3.28
108-118,0,0,0,0,0.77,3.83,16.85,0,0,0,7.66,0,0,5.36,0.77,0,4.6,1.53,0,0.77,0,0,3.06,0,0.77
120,0,0,3.92,0,0,0,21.56,0,0,0,3.92,0,0,5.88,0,3.92,3.92,0,0,0,0,0,0,0,1.96
